company,productFamily,asin,productName,brand,category,sourceFolder
coway,Other,B0078OMNN8,B0078OMNN8,CUCKOO,,
coway,Other,B00CCVNX0O,B00CCVNX0O,CUCKOO,,
coway,Other,B00E4XYQNG,B00E4XYQNG,CUCKOO,,
coway,Other,B00HUWBDHU,B00HUWBDHU,CUCKOO,,
coway,Other,B00NJ12KAU,B00NJ12KAU,CUCKOO,,
coway,Other,B00NUB6ARI,B00NUB6ARI,CUCKOO,,
coway,Other,B00PGBUK0I,B00PGBUK0I,CUCKOO,,
coway,Other,B00PGC9R42,B00PGC9R42,CUCKOO,,
coway,Other,B00U1XN4L8,B00U1XN4L8,CUCKOO,,
coway,Other,B00XQEM2BM,B00XQEM2BM,CUCKOO,,
coway,Other,B00XQEM2E4,B00XQEM2E4,CUCKOO,,
coway,Other,B019486ADO,B019486ADO,CUCKOO,,
coway,Other,B01JRTZVVM,B01JRTZVVM,CUCKOO,,
coway,Other,B01LYLW8P6,B01LYLW8P6,CUCKOO,,
coway,Other,B01MQWFGKG,B01MQWFGKG,CUCKOO,,
coway,Other,B01N21414D,B01N21414D,CUCKOO,,
coway,Other,B071H1FXFC,B071H1FXFC,CUCKOO,,
coway,Other,B0721ZMW8K,B0721ZMW8K,CUCKOO,,
coway,Other,B072NFGLSV,B072NFGLSV,CUCKOO,,
coway,Other,B075R7VL2Z,B075R7VL2Z,CUCKOO,,
