company,productFamily,asin,productName,brand,category,month,collectedDate,monthlySales,monthlyRevenue,price,bsr,reviews,rating,sellers,calculatedRevenue,sourceRows,sourceFile
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-05,2024-05-01,7782,93148.55,10.26,2,144237,4.6,,false,7,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-06,2024-06-01,7542,85499.17,11.32,2,145502,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-07,2024-07-01,9405,95504.69,10.4,2,146751,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-08,2024-08-01,9065,108503.42,11.97,1,148029,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-09,2024-09-01,9063,108489.7,11.97,1,148806,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-10,2024-10-01,9362,118239.93,12.63,3,165457,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-11,2024-11-01,9099,117127.77,12.87,2,168615,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2024-12,2024-12-01,10675,138316.34,12.95,2,169582,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-01,2025-01-01,10112,131354.04,12.99,1,170418,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-02,2025-02-01,9583,120027.14,12.53,1,171196,4.6,,false,28,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-03,2025-03-01,8991,116794.77,12.99,2,171818,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-04,2025-04-01,9694,125923.76,12.99,1,172643,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-05,2025-05-01,9822,127584.85,12.99,1,173580,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-06,2025-06-01,11196,145434.74,12.99,1,174448,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-07,2025-07-01,12253,159171.5,12.99,2,175425,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-08,2025-08-01,10594,137618.16,12.99,1,176411,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-09,2025-09-01,10799,140281.61,12.99,1,176862,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-10,2025-10-01,9055,111758.15,12.29,3,178132,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-11,2025-11-01,9741,116191.64,11.99,3,178339,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2025-12,2025-12-01,9186,118429.63,12.9,5,179973,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2026-01,2026-01-01,7604,93723.4,12.49,5,180998,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2026-02,2026-02-01,7222,93815.64,12.99,5,181817,4.6,,false,28,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2026-03,2026-03-01,8347,87415.68,10.39,4,182439,4.6,,false,31,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2026-04,2026-04-01,9602,120251.15,12.47,3,183189,4.6,,false,30,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B074PVTPBW,Mighty Patch B074PVTPBW,Mighty Patch,Beauty & Personal Care,2026-05,2026-05-01,9756,126726.65,12.99,4,183487,4.6,,false,24,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B07B4KQVK6,Mighty Patch B07B4KQVK6,Mighty Patch,Beauty & Personal Care,2024-05,2024-05-01,1975,42396.9,18.42,93,24548,4.8,,false,7,public/data/monthly_product_trend.json
tnl,Mighty Patch core,B07B4KQVK6,Mighty Patch B07B4KQVK6,Mighty Patch,Beauty & Personal Care,2024-06,2024-06-01,2288,43311.6,18.96,72,24814,4.8,,false,30,public/data/monthly_product_trend.json
