company,productFamily,asin,productName,month,monthlyMedianBsr,monthlyAvgBsr,monthlyBestBsr,monthlyWorstBsr,monthlyAvgBuyboxPrice,monthlyAvgNewPrice,monthlyAvgAmazonPrice,monthlyPriceStdDev,monthlyPriceTrend,monthlyPriceRange,monthlyPriceUsedForRevenue,monthlyReviewCountEnd,monthlyReviewGrowth,monthlyRatingAvg,buyboxAvailableRatio,observationCount,salesRankReference,offerCount,offerCsvPointCount,liveOffersCount,buyboxEligibleOfferCountTotal,featureWarnings
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-02,284507,284507,284507,284507,239.39,341.99,341.99,0,0,0,239.39,,,,1,1,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-03,284507,284507,284507,284507,308.17199999999997,372.50333333333333,359.99,37.314159457235526,0,105.69999999999999,308.17199999999997,,,,1,5,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-04,284507,284507,284507,284507,294.515,359.99,0,4.525801034071209,-3.0600000000000023,12.240000000000009,294.515,,,,1,4,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-05,284507,284507,284507,284507,307.34,341.99,341.99,20.733038851070535,54.360000000000014,54.360000000000014,307.34,,,,1,4,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-06,284507,284507,284507,284507,770.4860000000001,923.652,359.99,357.89922674406546,717.98,771.98,770.4860000000001,,,,1,5,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-07,284507,284507,284507,284507,1087.05,1087.05,0,39.690000000000055,79.38000000000011,79.38000000000011,1087.05,,,,1,2,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-08,284507,284507,284507,284507,803.3833333333333,911.0311111111109,0,419.98623988041425,-12.990000000000009,936.8000000000001,803.3833333333333,,,,1,9,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-09,284507,284507,284507,284507,816.82,906.3444444444444,0,405.72074120562837,906.5,943.77,816.82,,,,1,9,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-10,284507,284507,284507,284507,1168.1122222222223,1168.1122222222223,0,6.1200685867213345,-9.850000000000136,18.830000000000155,1168.1122222222223,,,,1,9,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-11,284507,284507,284507,284507,1172.4871428571428,1172.4871428571428,0,326.0077253560669,-183.19999999999982,970.69,1172.4871428571428,,,,1,7,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2017-12,284507,284507,284507,284507,1153.69,1153.69,0,12.309799348486543,-27.309999999999945,33.559999999999945,1153.69,,,,1,10,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-01,284507,284507,284507,284507,1166.9816666666666,1166.9816666666666,0,20.135944160188266,40.13999999999987,48.88999999999987,1166.9816666666666,,,,1,6,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-03,284507,284507,284507,284507,399.985,399.985,0,0.0049999999999954525,-0.009999999999990905,0.009999999999990905,399.985,,,,1,2,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-07,284507,284507,284507,284507,399.98,399.98,0,0,0,0,399.98,,,,1,3,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-08,284507,284507,284507,284507,399.98,399.98,0,0,0,0,399.98,,,,1,1,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-10,284507,284507,284507,284507,255.5,0,0,7.49543861291653,-18.360000000000014,18.360000000000014,255.5,,,,1,3,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-11,284507,284507,284507,284507,206.63,0,0,0,0,0,206.63,,,,1,1,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2018-12,284507,284507,284507,284507,255.5,0,0,0,0,0,255.5,,,,1,1,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-05,284507,284507,284507,284507,369.99,369.99,0,0,0,0,369.99,,,,1,1,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-06,284507,284507,284507,284507,399.985,399.985,0,0.0049999999999954525,-0.009999999999990905,0.009999999999990905,399.985,,,,1,2,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-08,284507,284507,284507,284507,399.99,399.99,0,0,0,0,399.99,,,,1,1,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2019-09,284507,284507,284507,284507,399.98,399.98,0,0,0,0,399.98,,,,1,1,284507,12,402,1,1,[]
coway,Other,B0078OMNN8,"Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker, 110V, Black",2020-08,284507,284507,284507,284507,399.985,399.985,0,0.0049999999999954525,-0.009999999999990905,0.009999999999990905,399.985,,,,1,2,284507,12,402,1,1,[]
