company,productFamily,modelKey,scope,modelType,targetMetric,sampleCount,confidence,formula,coefficients,metrics,reason
coway,Other,global:all:all:simple_power_law,global,simple_power_law,monthlySales,411,low,simple_power_law: log1p(sales) = intercept + log_bsr + log_price + rating_avg + scope_effects,"{""intercept"":8.817117087153632,""log_bsr"":-0.5456990873709656,""log_price"":0.16741232620950244,""rating_avg"":0.17383315594397944}","{""mape"":30.843716654705833,""rmse"":1676.7129187290197,""mae"":655.6370417518972,""r2"":0.724063999152283,""spearman"":0.9818387661589039}",Selected global model because company coverage was thin.
samyang,Buldak carbonara family,global:all:all:simple_power_law,global,simple_power_law,monthlySales,411,low,simple_power_law: log1p(sales) = intercept + log_bsr + log_price + rating_avg + scope_effects,"{""intercept"":8.817117087153632,""log_bsr"":-0.5456990873709656,""log_price"":0.16741232620950244,""rating_avg"":0.17383315594397944}","{""mape"":30.843716654705833,""rmse"":1676.7129187290197,""mae"":655.6370417518972,""r2"":0.724063999152283,""spearman"":0.9818387661589039}",Selected global model because company coverage was thin.
samyang,Buldak core ramen,global:all:all:simple_power_law,global,simple_power_law,monthlySales,411,low,simple_power_law: log1p(sales) = intercept + log_bsr + log_price + rating_avg + scope_effects,"{""intercept"":8.817117087153632,""log_bsr"":-0.5456990873709656,""log_price"":0.16741232620950244,""rating_avg"":0.17383315594397944}","{""mape"":30.843716654705833,""rmse"":1676.7129187290197,""mae"":655.6370417518972,""r2"":0.724063999152283,""spearman"":0.9818387661589039}",Selected global model because company coverage was thin.
samyang,Buldak sauce,global:all:all:simple_power_law,global,simple_power_law,monthlySales,411,low,simple_power_law: log1p(sales) = intercept + log_bsr + log_price + rating_avg + scope_effects,"{""intercept"":8.817117087153632,""log_bsr"":-0.5456990873709656,""log_price"":0.16741232620950244,""rating_avg"":0.17383315594397944}","{""mape"":30.843716654705833,""rmse"":1676.7129187290197,""mae"":655.6370417518972,""r2"":0.724063999152283,""spearman"":0.9818387661589039}",Selected global model because company coverage was thin.
samyang,Buldak snack/frozen/other,global:all:all:simple_power_law,global,simple_power_law,monthlySales,411,low,simple_power_law: log1p(sales) = intercept + log_bsr + log_price + rating_avg + scope_effects,"{""intercept"":8.817117087153632,""log_bsr"":-0.5456990873709656,""log_price"":0.16741232620950244,""rating_avg"":0.17383315594397944}","{""mape"":30.843716654705833,""rmse"":1676.7129187290197,""mae"":655.6370417518972,""r2"":0.724063999152283,""spearman"":0.9818387661589039}",Selected global model because company coverage was thin.
samyang,Other Samyang,global:all:all:simple_power_law,global,simple_power_law,monthlySales,411,low,simple_power_law: log1p(sales) = intercept + log_bsr + log_price + rating_avg + scope_effects,"{""intercept"":8.817117087153632,""log_bsr"":-0.5456990873709656,""log_price"":0.16741232620950244,""rating_avg"":0.17383315594397944}","{""mape"":30.843716654705833,""rmse"":1676.7129187290197,""mae"":655.6370417518972,""r2"":0.724063999152283,""spearman"":0.9818387661589039}",Selected global model because company coverage was thin.
tnl,Adjacent patch,family:tnl:Adjacent patch:family_adjusted,family,family_adjusted,monthlySales,25,low,family_adjusted: log1p(sales) = intercept + log_bsr + log_price + rating_avg,"{""intercept"":5.055377684752879,""log_bsr"":-0.25346410336655245,""log_price"":0.2974253753647723,""rating_avg"":0.4487209161889638}","{""mape"":11.877302871548789,""rmse"":42.204066662093105,""mae"":30.33120856118106,""r2"":0.14131438813379082,""spearman"":0.3569230769230769}",Selected family model because family sample size was sufficient.
tnl,Low-confidence Hero product,family:tnl:Low-confidence Hero product:family_adjusted,family,family_adjusted,monthlySales,25,low,family_adjusted: log1p(sales) = intercept + log_bsr + log_price + rating_avg,"{""intercept"":22.763817183931554,""log_bsr"":-1.3786368196227206,""log_price"":-0.615488646832562,""rating_avg"":-0.9261043272929868}","{""mape"":10.918122775459876,""rmse"":36.54871258173205,""mae"":25.843223935603238,""r2"":0.8815167681917311,""spearman"":0.91}",Selected family model because family sample size was sufficient.
tnl,Mighty Patch core,family:tnl:Mighty Patch core:family_adjusted,family,family_adjusted,monthlySales,169,low,family_adjusted: log1p(sales) = intercept + log_bsr + log_price + rating_avg,"{""intercept"":7.909959473730051,""log_bsr"":-0.4654823838662806,""log_price"":0.19161127631100272,""rating_avg"":0.283409752027808}","{""mape"":20.334597057724,""rmse"":1139.688178070697,""mae"":674.1342684658018,""r2"":0.9247482568320661,""spearman"":0.9693003828750435}",Selected family model because family sample size was sufficient.
tnl,Mighty Patch face/body extensions,family:tnl:Mighty Patch face/body extensions:family_adjusted,family,family_adjusted,monthlySales,192,low,family_adjusted: log1p(sales) = intercept + log_bsr + log_price + rating_avg,"{""intercept"":11.72125534507096,""log_bsr"":-0.7931165170628407,""log_price"":-0.02002446407058256,""rating_avg"":0.06515071149905453}","{""mape"":15.668186106022516,""rmse"":152.93601544810016,""mae"":86.05470063039274,""r2"":0.8807705846236504,""spearman"":0.9654718145566015}",Selected family model because family sample size was sufficient.
