company,productFamily,asin,month,message
coway,Other,B07XVS44W8,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B082QV3J6K,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0831RL6XK,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0842DDJL4,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B087H9ZVKD,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B08CBKKL9Z,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B08DP4TGNN,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B08TQX6FSS,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B08WFNV82W,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B08ZH4JJHM,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0991JHP9G,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B09GK4HHSV,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B09KT5H27B,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B09NMSXPB2,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0B44XTV71,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0B4MYBLZQ,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0B5B3QBV1,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0B7CGP75Z,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0BBP8X8GG,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0BF8V1THG,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0BFD57VRL,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0BLJ7NCQL,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0BWGSQ7Q8,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0BYRFF57N,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
coway,Other,B0BZGTKLDX,,No Keepa/Keepamore lab series available for this ASIN in local raw data.
,,,,Not every catalog ASIN has Jungle Scout observations.
