company,company_label,stock_ticker,date,month,close,adj_close,volume,month_return,index_100
"coway","Coway","021240.KS","2021-05-31","2021-05","83200","73149.62","305809",,"100"
"coway","Coway","021240.KS","2021-06-30","2021-06","78700","69193.21","169567","5.41","94.59"
"coway","Coway","021240.KS","2021-07-30","2021-07","85800","75435.54","175260","9.02","103.12"
"coway","Coway","021240.KS","2021-08-31","2021-08","78200","68753.61","604428","8.86","93.99"
"coway","Coway","021240.KS","2021-09-30","2021-09","74200","65236.8","156637","5.12","89.18"
"coway","Coway","021240.KS","2021-10-29","2021-10","79400","69808.65","251304","7.01","95.43"
"coway","Coway","021240.KS","2021-11-30","2021-11","67700","59521.98","467210","14.74","81.37"
"coway","Coway","021240.KS","2021-12-30","2021-12","74400","66476.6","160069","11.68","90.88"
"coway","Coway","021240.KS","2022-01-28","2022-01","69500","62098.44","238750","6.59","84.89"
"coway","Coway","021240.KS","2022-02-28","2022-02","69600","62187.8","0","0.14","85.01"
"coway","Coway","021240.KS","2022-03-31","2022-03","68500","61204.95","124249","1.58","83.67"
"coway","Coway","021240.KS","2022-04-29","2022-04","70900","63349.34","135130","3.5","86.6"
"coway","Coway","021240.KS","2022-05-31","2022-05","71500","63885.45","369321","0.85","87.34"
"coway","Coway","021240.KS","2022-06-30","2022-06","63900","57094.83","161073","10.63","78.05"
"coway","Coway","021240.KS","2022-07-29","2022-07","64100","57273.53","119232","0.31","78.3"
"coway","Coway","021240.KS","2022-08-31","2022-08","63700","56916.12","217534","0.62","77.81"
"coway","Coway","021240.KS","2022-09-30","2022-09","53900","48159.8","246517","15.38","65.84"
"coway","Coway","021240.KS","2022-10-31","2022-10","55300","49410.7","114803","2.6","67.55"
"coway","Coway","021240.KS","2022-11-30","2022-11","57600","51465.76","690512","4.16","70.36"
"coway","Coway","021240.KS","2022-12-29","2022-12","55900","51060.54","118231","0.79","69.8"
"coway","Coway","021240.KS","2023-01-31","2023-01","55800","50969.2","103","0.18","69.68"
"coway","Coway","021240.KS","2023-02-28","2023-02","53400","48776.97","833921","4.3","66.68"
"coway","Coway","021240.KS","2023-03-31","2023-03","52500","47954.89","171799","1.69","65.56"
"coway","Coway","021240.KS","2023-04-28","2023-04","49050","44803.57","142493","6.57","61.25"
"coway","Coway","021240.KS","2023-05-31","2023-05","48150","43981.48","461000","1.83","60.13"
"coway","Coway","021240.KS","2023-06-30","2023-06","43950","40145.09","127988","8.72","54.88"
"coway","Coway","021240.KS","2023-07-31","2023-07","41000","37450.48","228987","6.71","51.2"
"coway","Coway","021240.KS","2023-08-31","2023-08","43200","39460.02","524706","5.37","53.94"
