company,target_source,target_metric,indicator_source,indicator_metric,lag_quarters,period_type,sample_size,pearson_corr,spearman_corr,r_squared,confidence,interpretation
"coway","dart","revenue_krw","amazon","revenue_krw","0","quarterly_to_quarterly","8","0.6999","0.7857","0.4899","high","AMAZON vs DART at lag 0Q uses 8 aligned quarters."
"coway","dart","revenue_krw","amazon","revenue_krw","1","quarterly_to_quarterly","7","0.7914","0.8571","0.6263","medium","AMAZON vs DART at lag 1Q uses 7 aligned quarters."
"coway","dart","revenue_krw","amazon","revenue_krw","2","quarterly_to_quarterly","6","0.9066","0.9429","0.8219","medium","AMAZON vs DART at lag 2Q uses 6 aligned quarters."
"coway","dart","revenue_krw","amazon","revenue_krw","3","quarterly_to_quarterly","5","0.6668","0.4","0.4446","medium","AMAZON vs DART at lag 3Q uses 5 aligned quarters."
"coway","dart","revenue_krw","amazon","revenue_krw","4","quarterly_to_quarterly","4","0.1982","0.6","0.0393","medium","AMAZON vs DART at lag 4Q uses 4 aligned quarters."
"coway","dart","revenue_krw","trass","trass_value_for_trend","0","quarterly_to_quarterly","0",,,,"not_enough_data","Insufficient sample for a stable lag correlation."
"coway","dart","revenue_krw","trass","trass_value_for_trend","1","quarterly_to_quarterly","0",,,,"not_enough_data","Insufficient sample for a stable lag correlation."
"coway","dart","revenue_krw","trass","trass_value_for_trend","2","quarterly_to_quarterly","0",,,,"not_enough_data","Insufficient sample for a stable lag correlation."
"coway","dart","revenue_krw","trass","trass_value_for_trend","3","quarterly_to_quarterly","0",,,,"not_enough_data","Insufficient sample for a stable lag correlation."
"coway","dart","revenue_krw","trass","trass_value_for_trend","4","quarterly_to_quarterly","0",,,,"not_enough_data","Insufficient sample for a stable lag correlation."
"coway","dart","revenue_krw","stock","adj_close","0","quarterly_to_quarterly","20","0.6906","0.4286","0.4769","high","STOCK vs DART at lag 0Q uses 20 aligned quarters."
"coway","dart","revenue_krw","stock","adj_close","1","quarterly_to_quarterly","19","0.7188","0.3439","0.5167","high","STOCK vs DART at lag 1Q uses 19 aligned quarters."
"coway","dart","revenue_krw","stock","adj_close","2","quarterly_to_quarterly","18","0.6746","0.3","0.4551","high","STOCK vs DART at lag 2Q uses 18 aligned quarters."
"coway","dart","revenue_krw","stock","adj_close","3","quarterly_to_quarterly","17","0.5087","0.1175","0.2588","high","STOCK vs DART at lag 3Q uses 17 aligned quarters."
"coway","dart","revenue_krw","stock","adj_close","4","quarterly_to_quarterly","16","0.2662","-0.0118","0.0709","high","STOCK vs DART at lag 4Q uses 16 aligned quarters."
"samyang","dart","revenue_krw","amazon","revenue_krw","0","quarterly_to_quarterly","8","-0.8617","-0.8333","0.7425","high","AMAZON vs DART at lag 0Q uses 8 aligned quarters."
"samyang","dart","revenue_krw","amazon","revenue_krw","1","quarterly_to_quarterly","7","-0.7735","-0.75","0.5983","medium","AMAZON vs DART at lag 1Q uses 7 aligned quarters."
"samyang","dart","revenue_krw","amazon","revenue_krw","2","quarterly_to_quarterly","6","-0.6151","-0.6","0.3783","medium","AMAZON vs DART at lag 2Q uses 6 aligned quarters."
"samyang","dart","revenue_krw","amazon","revenue_krw","3","quarterly_to_quarterly","5","-0.251","-0.3","0.063","medium","AMAZON vs DART at lag 3Q uses 5 aligned quarters."
"samyang","dart","revenue_krw","amazon","revenue_krw","4","quarterly_to_quarterly","4","0.1815","0.4","0.0329","medium","AMAZON vs DART at lag 4Q uses 4 aligned quarters."
"samyang","dart","revenue_krw","trass","trass_value_for_trend","0","quarterly_to_quarterly","29","0.9876","0.9823","0.9754","high","TRASS vs DART at lag 0Q uses 29 aligned quarters."
"samyang","dart","revenue_krw","trass","trass_value_for_trend","1","quarterly_to_quarterly","29","0.9815","0.9719","0.9633","high","TRASS vs DART at lag 1Q uses 29 aligned quarters."
"samyang","dart","revenue_krw","trass","trass_value_for_trend","2","quarterly_to_quarterly","29","0.9801","0.9586","0.9606","high","TRASS vs DART at lag 2Q uses 29 aligned quarters."
"samyang","dart","revenue_krw","trass","trass_value_for_trend","3","quarterly_to_quarterly","29","0.9795","0.9384","0.9594","high","TRASS vs DART at lag 3Q uses 29 aligned quarters."
"samyang","dart","revenue_krw","trass","trass_value_for_trend","4","quarterly_to_quarterly","29","0.9748","0.9379","0.9502","high","TRASS vs DART at lag 4Q uses 29 aligned quarters."
"samyang","dart","revenue_krw","stock","adj_close","0","quarterly_to_quarterly","20","0.9332","0.9469","0.8709","high","STOCK vs DART at lag 0Q uses 20 aligned quarters."
"samyang","dart","revenue_krw","stock","adj_close","1","quarterly_to_quarterly","19","0.923","0.9516","0.8519","high","STOCK vs DART at lag 1Q uses 19 aligned quarters."
"samyang","dart","revenue_krw","stock","adj_close","2","quarterly_to_quarterly","18","0.9074","0.9814","0.8234","high","STOCK vs DART at lag 2Q uses 18 aligned quarters."
"samyang","dart","revenue_krw","stock","adj_close","3","quarterly_to_quarterly","17","0.894","0.9608","0.7992","high","STOCK vs DART at lag 3Q uses 17 aligned quarters."
"samyang","dart","revenue_krw","stock","adj_close","4","quarterly_to_quarterly","16","0.8804","0.9618","0.7751","high","STOCK vs DART at lag 4Q uses 16 aligned quarters."
"tnl","dart","revenue_krw","amazon","revenue_krw","0","quarterly_to_quarterly","8","-0.8361","-0.7975","0.6991","high","AMAZON vs DART at lag 0Q uses 8 aligned quarters."
"tnl","dart","revenue_krw","amazon","revenue_krw","1","quarterly_to_quarterly","7","-0.6913","-0.8002","0.4779","medium","AMAZON vs DART at lag 1Q uses 7 aligned quarters."
"tnl","dart","revenue_krw","amazon","revenue_krw","2","quarterly_to_quarterly","6","-0.5415","-0.5501","0.2932","medium","AMAZON vs DART at lag 2Q uses 6 aligned quarters."
"tnl","dart","revenue_krw","amazon","revenue_krw","3","quarterly_to_quarterly","5","-0.2229","-0.4887","0.0497","medium","AMAZON vs DART at lag 3Q uses 5 aligned quarters."
"tnl","dart","revenue_krw","amazon","revenue_krw","4","quarterly_to_quarterly","4","0.0033","0.2268","0","medium","AMAZON vs DART at lag 4Q uses 4 aligned quarters."
"tnl","dart","revenue_krw","trass","trass_value_for_trend","0","quarterly_to_quarterly","21","0.9815","0.9779","0.9633","high","TRASS vs DART at lag 0Q uses 21 aligned quarters."
"tnl","dart","revenue_krw","trass","trass_value_for_trend","1","quarterly_to_quarterly","21","0.7653","0.8143","0.5857","high","TRASS vs DART at lag 1Q uses 21 aligned quarters."
"tnl","dart","revenue_krw","trass","trass_value_for_trend","2","quarterly_to_quarterly","21","0.6593","0.7091","0.4347","high","TRASS vs DART at lag 2Q uses 21 aligned quarters."
"tnl","dart","revenue_krw","trass","trass_value_for_trend","3","quarterly_to_quarterly","21","0.5925","0.7208","0.3511","high","TRASS vs DART at lag 3Q uses 21 aligned quarters."
"tnl","dart","revenue_krw","trass","trass_value_for_trend","4","quarterly_to_quarterly","21","0.6522","0.7519","0.4254","high","TRASS vs DART at lag 4Q uses 21 aligned quarters."
"tnl","dart","revenue_krw","stock","adj_close","0","quarterly_to_quarterly","20","0.8182","0.7128","0.6695","high","STOCK vs DART at lag 0Q uses 20 aligned quarters."
"tnl","dart","revenue_krw","stock","adj_close","1","quarterly_to_quarterly","19","0.7162","0.6817","0.5129","high","STOCK vs DART at lag 1Q uses 19 aligned quarters."
"tnl","dart","revenue_krw","stock","adj_close","2","quarterly_to_quarterly","18","0.4391","0.2813","0.1928","high","STOCK vs DART at lag 2Q uses 18 aligned quarters."
"tnl","dart","revenue_krw","stock","adj_close","3","quarterly_to_quarterly","17","0.2966","0.1786","0.088","high","STOCK vs DART at lag 3Q uses 17 aligned quarters."
"tnl","dart","revenue_krw","stock","adj_close","4","quarterly_to_quarterly","16","0.3","0.2172","0.09","high","STOCK vs DART at lag 4Q uses 16 aligned quarters."
