company,source_folder,file_name,file_path,asin,report_generated_at,raw_row_count,raw_column_count,raw_columns,date_column,asin_column,product_name_column,brand_column,category_column,price_column,monthly_sales_column,monthly_revenue_column,bsr_column,reviews_column,rating_column,sellers_column,derived_monthly_revenue,date_source,filename_date_hint,date_min,date_max,distinct_months,date_missing_rows,price_nonzero_rows,price_zero_rows,price_na_rows,monthly_sales_na_rows,bsr_na_rows,reviews_na_rows,rating_na_rows,sellers_na_rows,auto_mappable_columns,uncertain_columns,missing_standard_columns,numeric_format_flags,data_quality_warnings
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_09 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_09 GMT+0900 (한국 표준시).csv","B0FRGMHCJQ","Tue May 26 2026 14:47:09 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","16","714","0","730","730","730","730","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 714/730 rows | monthly_sales missing for all rows | bsr missing for all rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_11 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_11 GMT+0900 (한국 표준시).csv","B0C6VSDY1V","Tue May 26 2026 14:47:11 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","0","730","0","730","730","730","730","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 730/730 rows | monthly_sales missing for all rows | bsr missing for all rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_12 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_12 GMT+0900 (한국 표준시).csv","B01N21414D","Tue May 26 2026 14:47:12 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","26","704","0","730","730","730","730","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 704/730 rows | monthly_sales missing for all rows | bsr missing for all rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_14 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_14 GMT+0900 (한국 표준시).csv","B0D2CM7KYM","Tue May 26 2026 14:47:14 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","0","730","0","730","730","730","730","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 730/730 rows | monthly_sales missing for all rows | bsr missing for all rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_16 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_16 GMT+0900 (한국 표준시).csv","B0CW367FF1","Tue May 26 2026 14:47:16 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","0","730","0","730","730","730","730","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 730/730 rows | monthly_sales missing for all rows | bsr missing for all rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_18 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_18 GMT+0900 (한국 표준시).csv","B0CWR6GKQN","Tue May 26 2026 14:47:18 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","0","730","0","730","730","730","730","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 730/730 rows | monthly_sales missing for all rows | bsr missing for all rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_20 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_20 GMT+0900 (한국 표준시).csv","B0078OMNN8","Tue May 26 2026 14:47:20 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","2","728","0","477","477","730","730","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","price is zero in 728/730 rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_22 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_22 GMT+0900 (한국 표준시).csv","B0FRGND13S","Tue May 26 2026 14:47:22 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","28","702","0","730","730","702","702","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 702/730 rows | monthly_sales missing for all rows | bsr missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_33 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_33 GMT+0900 (한국 표준시).csv","B00HUWBDHU","Tue May 26 2026 14:47:33 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"false","table",,"2024-05-26","2026-05-25","25","0","0","730","0","730","730","730","730","730","date | asin | price | monthly_sales | bsr | reviews | rating","product_name | brand | category | monthly_revenue | sellers","product_name | brand | category | monthly_revenue | sellers","currency_symbol","price is zero in 730/730 rows | monthly_sales missing for all rows | bsr missing for all rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
"coway","cuckoo","Catalyst Product Historical Data - Tue May 26 2026 14_47_35 GMT+0900 (한국 표준시).csv","data/raw/amazon_us/cuckoo/Catalyst Product Historical Data - Tue May 26 2026 14_47_35 GMT+0900 (한국 표준시).csv","B0DL7SYPVW","Tue May 26 2026 14:47:35 GMT+0900 (한국 표준시)","730","6","DATE | RANK | UNITS SOLD | PRICE | REVIEWS | STAR RATING","DATE",,,,,"PRICE","UNITS SOLD",,"RANK","REVIEWS","STAR RATING",,"true","table",,"2024-05-26","2026-05-25","25","0","2","728","0","181","181","730","730","730","date | asin | price | monthly_sales | monthly_revenue | bsr | reviews | rating","product_name | brand | category | sellers","product_name | brand | category | sellers","currency_symbol | comma_grouping","price is zero in 728/730 rows | reviews missing for all rows | rating missing for all rows | sellers missing for all rows | product_name not present in source | brand not present in source | category not present in source | sellers not present in source"
