company,quarter,trass_reported_total_value,trass_fallback_total_value,trass_raw_value,trass_observed_days,trass_target_days,trass_30d_normalized,trass_is_partial_month,trass_adjustment_factor,trass_value_for_trend,trass_total_source,trass_country_weighted_feature,trass_country_weighted_normalized_feature,trass_country_weight_coverage,month_count,months_present,is_complete_quarter,data_quality_warnings
"samyang","1996-Q1","15150257153",,"15150257153","91","90","15000111156.810001","false","0.989","15000111156.810001","reported","0",,"0","3","3","true",""
"samyang","1996-Q2","17274944399",,"17274944399","91","90","17089300964.32","false","0.989","17089300964.32","reported","0",,"0","3","3","true",""
"samyang","1996-Q3","19795068201",,"19795068201","92","90","19360275613.58","false","0.9783","19360275613.58","reported","0",,"0","3","3","true",""
"samyang","1996-Q4","20719829381",,"20719829381","92","90","20259832531.45","false","0.9783","20259832531.45","reported","0",,"0","3","3","true",""
"samyang","1997-Q1","23228706045",,"23228706045","90","90","23241730447.84","false","1","23241730447.84","reported","0",,"0","3","3","true",""
"samyang","1997-Q2","25646430914",,"25646430914","91","90","25389518791.35","false","0.989","25389518791.35","reported","0",,"0","3","3","true",""
"samyang","1997-Q3","30553533983",,"30553533983","92","90","29878368441.129997","false","0.9783","29878368441.129997","reported","0",,"0","3","3","true",""
"samyang","1997-Q4","28458706867",,"28458706867","92","90","27808714255.97","false","0.9783","27808714255.97","reported","0",,"0","3","3","true",""
"samyang","1998-Q1","42422056665",,"42422056665","90","90","42677064932.04","false","1","42677064932.04","reported","0",,"0","3","3","true",""
"samyang","1998-Q2","35458046853",,"35458046853","91","90","35120445682.13","false","0.989","35120445682.13","reported","0",,"0","3","3","true",""
"samyang","1998-Q3","27869788338",,"27869788338","92","90","27176463317.190002","false","0.9783","27176463317.190002","reported","0",,"0","3","3","true",""
"samyang","1998-Q4","22573901055",,"22573901055","92","90","22079149364.03","false","0.9783","22079149364.03","reported","0",,"0","3","3","true",""
"samyang","1999-Q1","20774857195",,"20774857195","90","90","20713395700.71","false","1","20713395700.71","reported","0",,"0","3","3","true",""
