company,company_label,product_line,country_scope,source_file,source_descriptor,month,quarter,export_value_usd,export_value_krw,export_weight_kg,domestic_company_count,foreign_counterparty_count,trass_raw_value,trass_observed_days,trass_target_days,trass_30d_normalized,trass_is_partial_month,trass_adjustment_factor,trass_value_for_trend,trass_total_source
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-01","2022-Q1","8772209","10344867663","2793213.57",,,"10344867663","31","30","10011162254.52","false","0.9677","10011162254.52","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-02","2022-Q1","12547299","14905786103","4008240.31",,,"14905786103","28","30","15970485110.36","false","1.0714","15970485110.36","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-03","2022-Q1","19078072","23037411248","6060417.61",,,"23037411248","31","30","22294268949.68","false","0.9677","22294268949.68","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-04","2022-Q2","9814761","11921913163","3083548.35",,,"11921913163","30","30","11921913163","false","1","11921913163","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-05","2022-Q2","21745680","27313205727","7115021.49",,,"27313205727","31","30","26432134574.52","false","0.9677","26432134574.52","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-06","2022-Q2","19917806","25007418535","6454451.93",,,"25007418535","30","30","25007418535","false","1","25007418535","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-07","2022-Q3","11591309","14933023306","3714219.39",,,"14933023306","31","30","14451312876.77","false","0.9677","14451312876.77","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-08","2022-Q3","12852181","16673054345","4158754.89",,,"16673054345","31","30","16135213882.26","false","0.9677","16135213882.26","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-09","2022-Q3","16036712","21963609707","5239768.71",,,"21963609707","30","30","21963609707","false","1","21963609707","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-10","2022-Q4","17249737","24592791919","5590655.32",,,"24592791919","31","30","23799476050.65","false","0.9677","23799476050.65","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-11","2022-Q4","17923745","24841495270","5808099.83",,,"24841495270","30","30","24841495270","false","1","24841495270","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2022-12","2022-Q4","21388316","28071417336","6502199.9",,,"28071417336","31","30","27165887744.52","false","0.9677","27165887744.52","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2023-01","2023-Q1","15038754","18888805465","4358628.96",,,"18888805465","31","30","18279489159.68","false","0.9677","18279489159.68","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2023-02","2023-Q1","18192055","22744982461","5324842.87",,,"22744982461","28","30","24369624065.36","false","1.0714","24369624065.36","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2023-03","2023-Q1","16579259","21661549513","4819631.41",,,"21661549513","31","30","20962789851.29","false","0.9677","20962789851.29","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2023-04","2023-Q2","10114578","13282267737","2895939.84",,,"13282267737","30","30","13282267737","false","1","13282267737","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2023-05","2023-Q2","11051197","14739488771","3223959.07",,,"14739488771","31","30","14264021391.29","false","0.9677","14264021391.29","reported"
"samyang","삼양식품","ramen","cn","samyang_ramen_cn.xlsx","* 조회조건 -  [품목 : 1902301010, 국가 : CN, $/원]","2023-06","2023-Q2","16377374","21148980274","4702083.36",,,"21148980274","30","30","21148980274","false","1","21148980274","reported"
