company,company_label,product_line,country_scope,quarter,export_value_usd,export_value_krw,export_weight_kg,domestic_company_count,foreign_counterparty_count,trass_raw_value,trass_observed_days,trass_target_days,trass_30d_normalized,trass_is_partial_month,trass_adjustment_factor,trass_value_for_trend,trass_total_source
"samyang","삼양식품","ramen","cn","2022-Q1","40397580","48288065014","12861871.49","0","0","48288065014","90","90","48275916314.56","false","1","48275916314.56","reported"
"samyang","삼양식품","ramen","cn","2022-Q2","51478247","64242537425","16653021.77","0","0","64242537425","91","90","63361466272.520004","false","0.989","63361466272.520004","reported"
"samyang","삼양식품","ramen","cn","2022-Q3","40480202","53569687358","13112742.99","0","0","53569687358","92","90","52550136466.03","false","0.9783","52550136466.03","reported"
"samyang","삼양식품","ramen","cn","2022-Q4","56561798","77505704525","17900955.05","0","0","77505704525","92","90","75806859065.17","false","0.9783","75806859065.17","reported"
"samyang","삼양식품","ramen","cn","2023-Q1","49810068","63295337439","14503103.24","0","0","63295337439","90","90","63611903076.33","false","1","63611903076.33","reported"
"samyang","삼양식품","ramen","cn","2023-Q2","37543149","49170736782","10821982.27","0","0","49170736782","91","90","48695269402.29","false","0.989","48695269402.29","reported"
"samyang","삼양식품","ramen","cn","2023-Q3","63843492","83728243539","18501588.83","0","0","83728243539","92","90","82094038523.07","false","0.9783","82094038523.07","reported"
"samyang","삼양식품","ramen","cn","2023-Q4","64252897","85361079271","18652323.85","0","0","85361079271","92","90","83678460223","false","0.9783","83678460223","reported"
"samyang","삼양식품","ramen","cn","2024-Q1","43800091","58049817031","13051246.219999999","0","0","58049817031","91","90","57527640373.979996","false","0.989","57527640373.979996","reported"
"samyang","삼양식품","ramen","cn","2024-Q2","70029544","95801103255","20417557.85","0","0","95801103255","91","90","94697460010.23","false","0.989","94697460010.23","reported"
"samyang","삼양식품","ramen","cn","2024-Q3","66998326","91281923011","19368332.63","0","0","91281923011","92","90","89220658886.25","false","0.9783","89220658886.25","reported"
"samyang","삼양식품","ramen","cn","2024-Q4","79721341","110369488341","24221844.189999998","0","0","110369488341","92","90","108053164085.16998","false","0.9783","108053164085.16998","reported"
"samyang","삼양식품","ramen","cn","2025-Q1","76298098","110728668681","22170378.4","0","0","110728668681","90","90","111642219725.39","false","1","111642219725.39","reported"
"samyang","삼양식품","ramen","cn","2025-Q2","84989232","119801975481","23455421.67","0","0","119801975481","91","90","118394915272.39","false","0.989","118394915272.39","reported"
"samyang","삼양식품","ramen","cn","2025-Q3","121155738","167583921319","33674594.879999995","0","0","167583921319","92","90","164263165382.87","false","0.9783","164263165382.87","reported"
"samyang","삼양식품","ramen","cn","2025-Q4","102948147","148432899941","29046357.87","0","0","148432899941","92","90","145364645372.88","false","0.9783","145364645372.88","reported"
"samyang","삼양식품","ramen","cn","2026-Q1","86630611","126523643513","23626423.41","0","0","126523643513","90","90","126082750337.49002","false","1","126082750337.49002","reported"
"samyang","삼양식품","ramen","cn","2026-Q2","72076504","107097658050","19335948.111","0","0","107097658050","61","60","105912526869.94","false","0.9836","105912526869.94","reported"
"samyang","삼양식품","ramen","total","1996-Q1","19112026","14893799129","7662147","223","0","14893799129","91","90","14745723325.400002","false","0.989","14745723325.400002","reported"
"samyang","삼양식품","ramen","total","1996-Q2","21874199","17090503735","8361598","268","0","17090503735","91","90","16906779827.029999","false","0.989","16906779827.029999","reported"
"samyang","삼양식품","ramen","total","1996-Q3","23793813","19344377233","8651390","244","0","19344377233","92","90","18920403414.71","false","0.9783","18920403414.71","reported"
