Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:24 GMT+0900 (한국 표준시)
Product ASIN: B07B4KQVK6
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"3","10,089","$21.97","183,558","4.6"
2026-05-23,"3","10,089","$21.97","183,558","4.6"
2026-05-22,"3","10,089","$21.97","183,558","4.6"
2026-05-21,"2","11,281","$21.97","183,558","4.6"
2026-05-20,"3","10,089","$21.97","183,558","4.6"
2026-05-19,"3","10,089","$21.97","183,558","4.6"
2026-05-18,"3","10,089","$21.97","183,483","4.6"
2026-05-17,"3","10,281","$21.97","183,483","4.6"
2026-05-16,"3","10,281","$21.97","183,483","4.6"
2026-05-15,"3","10,281","$21.97","183,483","4.6"
2026-05-14,"5","8,961","$21.97","183,483","4.6"
2026-05-13,"5","8,961","$21.97","183,483","4.6"
2026-05-12,"4","9,513","$21.97","183,483","4.6"
2026-05-11,"5","8,961","$21.97","183,483","4.6"
2026-05-10,"5","8,923","$21.97","183,483","4.6"
2026-05-09,"4","9,479","$21.97","183,363","4.6"
2026-05-08,"4","9,479","$21.97","183,363","4.6"
2026-05-07,"4","9,479","$21.97","183,363","4.6"
2026-05-06,"4","9,479","$21.97","183,363","4.6"
2026-05-05,"4","9,479","$21.97","183,363","4.6"
2026-05-04,"4","9,479","$21.97","183,363","4.6"
2026-05-03,"4","9,322","$21.97","183,363","4.6"
2026-05-02,"4","9,322","$21.97","183,193","4.6"
2026-05-01,"3","10,080","$21.97","183,193","4.6"
2026-04-30,"4","9,322","$21.97","183,193","4.6"
2026-04-29,"4","9,322","$21.97","183,193","4.6"
2026-04-28,"3","10,080","$21.97","183,193","4.6"
2026-04-27,"3","10,080","$21.97","183,193","4.6"
2026-04-26,"3","9,957","$21.97","183,193","4.6"
2026-04-25,"3","9,957","$21.97","183,193","4.6"
2026-04-24,"3","9,957","$21.97","182,876","4.6"
2026-04-23,"3","9,957","$21.97","182,876","4.6"
2026-04-22,"3","9,957","$21.97","182,876","4.6"
2026-04-21,"3","9,957","$21.97","182,876","4.6"
2026-04-20,"3","9,957","$21.97","182,876","4.6"
2026-04-19,"3","9,510","$21.97","182,876","4.6"
2026-04-18,"2","10,629","$21.97","182,876","4.6"
2026-04-17,"2","10,629","$21.97","182,876","4.6"
2026-04-16,"2","10,629","$21.97","182,782","4.6"
2026-04-15,"3","9,510","$21.97","182,782","4.6"
2026-04-14,"3","9,510","$21.97","182,782","4.6"
2026-04-13,"3","9,510","$21.97","182,782","4.6"
2026-04-12,"3","9,342","$0.00","N.A.","--"
2026-04-11,"3","9,342","$21.97","182,782","4.6"
2026-04-10,"3","9,342","$21.97","182,782","4.6"
2026-04-09,"3","9,342","$21.97","182,782","4.6"
2026-04-08,"3","9,342","$21.97","182,564","4.6"
2026-04-07,"4","8,628","$21.97","182,564","4.6"
2026-04-06,"4","8,628","$21.97","182,564","4.6"
2026-04-05,"4","9,578","$21.97","182,564","4.6"
2026-04-04,"4","9,578","$21.97","182,564","4.6"
2026-04-03,"4","9,578","$21.97","182,564","4.6"
2026-04-02,"6","8,532","$21.97","182,564","4.6"
2026-04-01,"5","8,987","$21.97","182,564","4.6"
2026-03-31,"6","8,532","$21.97","182,401","4.6"
2026-03-30,"7","8,164","$21.97","182,401","4.6"
2026-03-29,"7","8,182","$21.97","182,401","4.6"
2026-03-28,"6","8,547","$17.57","182,401","4.6"
2026-03-27,"5","8,999","$17.57","182,401","4.6"
2026-03-26,"3","10,400","$17.57","182,401","4.6"
2026-03-25,"3","10,400","$17.57","182,401","4.6"
2026-03-24,"3","10,400","$21.97","182,401","4.6"
2026-03-23,"3","10,400","$21.97","182,176","4.6"
2026-03-22,"3","8,544","$21.97","182,176","4.6"
2026-03-21,"3","8,544","$21.97","182,176","4.6"
2026-03-20,"3","8,544","$21.97","182,176","4.6"
2026-03-19,"3","8,544","$21.97","182,176","4.6"
2026-03-18,"3","8,544","$21.97","182,176","4.6"
2026-03-17,"3","8,544","$21.97","182,176","4.6"
2026-03-16,"4","7,876","$21.97","182,176","4.6"
2026-03-15,"4","7,836","$21.97","182,055","4.6"
2026-03-14,"5","7,353","$21.97","182,055","4.6"
2026-03-13,"5","7,353","$21.97","182,055","4.6"
2026-03-12,"4","7,836","$21.97","182,055","4.6"
2026-03-11,"4","7,836","$21.97","182,055","4.6"
2026-03-10,"4","7,836","$21.97","182,055","4.6"
2026-03-09,"5","7,353","$21.97","182,055","4.6"
2026-03-08,"5","7,510","$21.97","181,815","4.6"
