Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:25 GMT+0900 (한국 표준시)
Product ASIN: B074PVTPBW
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"3","10,089","$12.99","183,487","4.6"
2026-05-23,"3","10,089","$12.99","183,487","4.6"
2026-05-22,"3","10,089","$12.99","183,487","4.6"
2026-05-21,"2","11,281","$12.99","183,487","4.6"
2026-05-20,"3","10,089","$12.99","183,487","4.6"
2026-05-19,"3","10,089","$12.99","183,487","4.6"
2026-05-18,"3","10,089","$12.99","183,481","4.6"
2026-05-17,"3","10,281","$12.99","183,481","4.6"
2026-05-16,"3","10,281","$12.99","183,481","4.6"
2026-05-15,"3","10,281","$12.99","183,481","4.6"
2026-05-14,"3","10,281","$12.99","183,481","4.6"
2026-05-13,"5","8,961","$12.99","183,481","4.6"
2026-05-12,"4","9,513","$12.99","183,481","4.6"
2026-05-11,"5","8,961","$12.99","183,387","4.6"
2026-05-10,"5","8,923","$12.99","183,387","4.6"
2026-05-09,"4","9,479","$12.99","183,387","4.6"
2026-05-08,"4","9,479","$12.99","183,387","4.6"
2026-05-07,"4","9,479","$12.99","183,387","4.6"
2026-05-06,"4","9,479","$12.99","183,387","4.6"
2026-05-05,"4","9,479","$12.99","183,387","4.6"
2026-05-04,"4","9,479","$12.99","183,189","4.6"
2026-05-03,"4","9,322","$12.99","183,189","4.6"
2026-05-02,"4","9,322","$12.99","183,189","4.6"
2026-05-01,"4","9,322","$12.99","183,189","4.6"
2026-04-30,"3","10,080","$12.99","183,189","4.6"
2026-04-29,"4","9,322","$12.99","183,189","4.6"
2026-04-28,"3","10,080","$12.99","183,189","4.6"
2026-04-27,"3","10,080","$12.99","183,189","4.6"
2026-04-26,"3","9,957","$12.99","183,189","4.6"
2026-04-25,"3","9,957","$12.99","183,189","4.6"
2026-04-24,"3","9,957","$12.99","182,873","4.6"
2026-04-23,"3","9,957","$12.99","182,873","4.6"
2026-04-22,"3","9,957","$12.99","182,873","4.6"
2026-04-21,"3","9,957","$12.99","182,873","4.6"
2026-04-20,"3","9,957","$12.99","182,873","4.6"
2026-04-19,"3","9,510","$12.99","182,873","4.6"
2026-04-18,"2","10,629","$12.99","182,873","4.6"
2026-04-17,"2","10,629","$12.99","182,812","4.6"
2026-04-16,"2","10,629","$12.99","182,812","4.6"
2026-04-15,"2","10,629","$12.99","182,812","4.6"
2026-04-14,"3","9,510","$12.99","182,812","4.6"
2026-04-13,"3","9,510","$12.99","182,812","4.6"
2026-04-12,"3","9,342","$12.99","182,812","4.6"
2026-04-11,"3","9,342","$12.99","182,812","4.6"
2026-04-10,"3","9,342","$12.99","182,610","4.6"
2026-04-09,"4","8,628","$0.00","N.A.","--"
2026-04-08,"4","8,628","$12.99","182,610","4.6"
2026-04-07,"4","8,628","$12.99","182,610","4.6"
2026-04-06,"4","8,628","$12.99","182,610","4.6"
2026-04-05,"4","9,578","$12.99","182,610","4.6"
2026-04-04,"4","9,578","$12.99","182,610","4.6"
2026-04-03,"6","8,532","$12.99","182,439","4.6"
2026-04-02,"5","8,987","$12.99","182,439","4.6"
2026-04-01,"6","8,532","$10.39","182,439","4.6"
2026-03-31,"7","8,164","$10.39","182,439","4.6"
2026-03-30,"7","8,164","$10.39","182,439","4.6"
2026-03-29,"6","8,547","$10.39","182,439","4.6"
2026-03-28,"6","8,547","$10.39","182,439","4.6"
2026-03-27,"3","10,400","$10.39","182,439","4.6"
2026-03-26,"3","10,400","$10.39","182,267","4.6"
2026-03-25,"3","10,400","$12.99","182,267","4.6"
2026-03-24,"3","10,400","$12.99","182,267","4.6"
2026-03-23,"3","10,400","$12.99","182,267","4.6"
2026-03-22,"3","8,544","$0.00","N.A.","--"
2026-03-21,"3","8,544","$12.99","182,267","4.6"
2026-03-20,"3","8,544","$12.99","182,267","4.6"
2026-03-19,"3","8,544","$12.99","182,267","4.6"
2026-03-18,"4","7,876","$0.00","N.A.","--"
2026-03-17,"4","7,876","$12.99","182,055","4.6"
2026-03-16,"4","7,876","$12.99","182,055","4.6"
2026-03-15,"5","7,353","$12.99","182,055","4.6"
2026-03-14,"5","7,353","$12.99","182,055","4.6"
2026-03-13,"4","7,836","$12.99","182,055","4.6"
2026-03-12,"4","7,836","$12.99","182,055","4.6"
2026-03-11,"4","7,836","$12.99","182,055","4.6"
2026-03-10,"5","7,353","$12.99","182,055","4.6"
