Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:28 GMT+0900 (한국 표준시)
Product ASIN: B07KJS13PK
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"301","1,950","$14.39","13,597","4.7"
2026-05-23,"268","2,075","$14.39","13,597","4.7"
2026-05-22,"264","2,091","$14.39","13,597","4.7"
2026-05-21,"247","2,167","$14.39","13,597","4.7"
2026-05-20,"234","2,229","$14.39","13,597","4.7"
2026-05-19,"231","2,244","$14.39","13,573","4.7"
2026-05-18,"251","2,148","$14.39","13,573","4.7"
2026-05-17,"255","2,374","$14.39","13,573","4.7"
2026-05-16,"235","2,466","$14.39","13,573","4.7"
2026-05-15,"226","2,511","$14.39","13,573","4.7"
2026-05-14,"227","2,506","$14.39","13,573","4.7"
2026-05-13,"232","2,481","$14.39","13,573","4.7"
2026-05-12,"256","2,370","$14.39","13,573","4.7"
2026-05-11,"270","2,311","$14.39","13,546","4.7"
2026-05-10,"272","2,218","$14.39","13,546","4.7"
2026-05-09,"247","2,325","$14.39","13,546","4.7"
2026-05-08,"236","2,377","$14.39","13,546","4.7"
2026-05-07,"232","2,397","$14.39","13,546","4.7"
2026-05-06,"220","2,459","$14.39","13,546","4.7"
2026-05-05,"230","2,407","$14.39","13,546","4.7"
2026-05-04,"251","2,307","$14.39","13,546","4.7"
2026-05-03,"232","2,498","$14.39","13,525","4.7"
2026-05-02,"218","2,566","$14.39","13,525","4.7"
2026-05-01,"219","2,561","$14.39","13,525","4.7"
2026-04-30,"206","2,629","$14.39","13,525","4.7"
2026-04-29,"205","2,635","$14.39","13,525","4.7"
2026-04-28,"212","2,597","$14.39","13,525","4.7"
2026-04-27,"208","2,619","$14.39","13,525","4.7"
2026-04-26,"228","2,359","$14.39","13,454","4.7"
2026-04-25,"231","2,344","$14.39","13,454","4.7"
2026-04-24,"216","2,421","$14.39","13,454","4.7"
2026-04-23,"215","2,426","$14.39","13,454","4.7"
2026-04-22,"202","2,499","$14.39","13,454","4.7"
2026-04-21,"199","2,517","$14.39","13,454","4.7"
2026-04-20,"219","2,405","$14.39","13,454","4.7"
2026-04-19,"235","2,361","$14.39","13,454","4.7"
2026-04-18,"219","2,434","$14.39","13,448","4.7"
2026-04-17,"212","2,468","$14.39","13,448","4.7"
2026-04-16,"215","2,453","$14.39","13,448","4.7"
2026-04-15,"214","2,458","$14.39","13,448","4.7"
2026-04-14,"221","2,424","$14.39","13,448","4.7"
2026-04-13,"254","2,282","$14.39","13,448","4.7"
2026-04-12,"254","2,205","$14.39","13,448","4.7"
2026-04-11,"217","2,360","$14.39","13,397","4.7"
2026-04-10,"215","2,369","$14.39","13,397","4.7"
2026-04-09,"214","2,374","$14.39","13,397","4.7"
2026-04-08,"212","2,383","$14.39","13,397","4.7"
2026-04-07,"219","2,351","$14.39","13,397","4.7"
2026-04-06,"231","2,298","$14.39","13,397","4.7"
2026-04-05,"230","2,350","$14.39","13,397","4.7"
2026-04-04,"229","2,355","$14.39","13,397","4.7"
2026-04-03,"216","2,419","$14.39","13,367","4.7"
2026-04-02,"222","2,389","$14.39","13,367","4.7"
2026-04-01,"218","2,409","$14.39","13,367","4.7"
2026-03-31,"230","2,350","$14.39","13,367","4.7"
2026-03-30,"244","2,286","$14.39","13,367","4.7"
2026-03-29,"249","2,347","$14.39","13,367","4.7"
2026-03-28,"225","2,454","$14.39","13,367","4.7"
2026-03-27,"207","2,545","$14.39","13,337","4.7"
2026-03-26,"175","2,734","$14.39","13,337","4.7"
2026-03-25,"175","2,734","$14.39","13,337","4.7"
2026-03-24,"186","2,664","$14.39","13,337","4.7"
2026-03-23,"190","2,640","$14.39","13,337","4.7"
2026-03-22,"179","2,319","$0.00","N.A.","--"
2026-03-21,"168","2,379","$14.39","13,337","4.7"
2026-03-20,"172","2,357","$14.39","13,337","4.7"
2026-03-19,"172","2,357","$14.39","13,295","4.7"
2026-03-18,"179","2,319","$0.00","N.A.","--"
2026-03-17,"186","2,282","$14.39","13,295","4.7"
2026-03-16,"206","2,187","$14.39","13,295","4.7"
2026-03-15,"209","2,155","$14.39","13,295","4.7"
2026-03-14,"195","2,220","$14.39","13,295","4.7"
2026-03-13,"184","2,274","$14.39","13,295","4.7"
2026-03-12,"178","2,306","$14.39","13,295","4.7"
2026-03-11,"193","2,229","$14.39","13,255","4.7"
2026-03-10,"215","2,129","$14.39","13,255","4.7"
2026-03-09,"238","2,036","$14.39","13,255","4.7"
2026-03-08,"253","1,941","$14.39","13,255","4.7"
2026-03-07,"255","1,934","$0.00","N.A.","--"
2026-03-06,"257","1,927","$14.39","13,255","4.7"
2026-03-05,"261","1,913","$14.39","13,255","4.7"
2026-03-04,"276","1,863","$14.39","13,255","4.7"
2026-03-03,"286","1,832","$14.39","13,194","4.7"
2026-03-02,"281","1,848","$14.39","13,194","4.7"
2026-03-01,"233","2,089","$14.39","13,194","4.7"
2026-02-28,"418","1,579","$14.39","13,194","4.7"
2026-02-27,"403","1,609","$14.39","13,194","4.7"
2026-02-26,"406","1,603","$0.00","13,194","4.7"
2026-02-25,"432","1,552","$0.00","13,194","4.7"
2026-02-24,"454","1,512","$0.00","13,194","4.7"
2026-02-23,"471","1,483","$0.00","13,194","4.7"
2026-02-22,"469","1,535","$0.00","13,136","4.7"
2026-02-21,"439","1,594","$0.00","13,136","4.7"
2026-02-20,"365","1,761","$0.00","13,136","4.7"
2026-02-19,"316","1,894","$0.00","13,136","4.7"
2026-02-18,"284","1,992","$0.00","13,136","4.7"
2026-02-17,"273","2,028","$0.00","13,136","4.7"
2026-02-16,"268","2,045","$14.39","13,136","4.7"
2026-02-15,"264","1,870","$14.39","13,136","4.7"
2026-02-14,"250","1,918","$14.39","13,084","4.7"
2026-02-13,"232","1,984","$14.39","13,084","4.7"
2026-02-12,"218","2,039","$14.39","13,084","4.7"
2026-02-11,"220","2,031","$14.39","13,084","4.7"
2026-02-10,"234","1,976","$14.39","13,084","4.7"
2026-02-09,"275","1,835","$14.39","13,084","4.7"
2026-02-08,"252","1,904","$14.39","13,084","4.7"
2026-02-07,"233","1,976","$14.39","13,040","4.7"
2026-02-06,"226","2,004","$14.39","13,040","4.7"
2026-02-05,"211","2,069","$14.39","13,040","4.7"
2026-02-04,"206","2,091","$14.39","13,040","4.7"
2026-02-03,"221","2,025","$14.39","13,040","4.7"
2026-02-02,"237","1,960","$14.39","13,040","4.7"
2026-02-01,"221","1,896","$14.39","13,040","4.7"
2026-01-31,"224","1,883","$14.39","13,040","4.7"
2026-01-30,"212","1,937","$14.39","13,040","4.7"
2026-01-29,"195","2,022","$14.39","13,007","4.7"
2026-01-28,"185","2,076","$14.39","13,007","4.7"
2026-01-27,"193","2,032","$14.39","13,007","4.7"
2026-01-26,"210","1,946","$14.39","13,007","4.7"
2026-01-25,"198","1,780","$14.39","13,007","4.7"
2026-01-24,"181","1,865","$14.39","13,007","4.7"
2026-01-23,"179","1,876","$14.39","13,007","4.7"
2026-01-22,"170","1,926","$14.39","13,007","4.7"
2026-01-21,"174","1,904","$14.39","13,152","4.7"
2026-01-20,"180","1,871","$14.39","13,152","4.7"
2026-01-19,"182","1,860","$0.00","N.A.","--"
2026-01-18,"184","2,008","$14.39","13,152","4.7"
2026-01-17,"178","2,044","$14.39","13,152","4.7"
2026-01-16,"171","2,088","$14.39","13,152","4.7"
2026-01-15,"168","2,108","$14.39","13,152","4.7"
2026-01-14,"186","1,996","$14.39","13,152","4.7"
2026-01-13,"213","1,852","$14.39","13,152","4.7"
2026-01-12,"226","1,792","$14.39","13,152","4.7"
2026-01-11,"229","1,774","$14.39","13,152","4.7"
2026-01-10,"220","1,816","$14.39","13,152","4.7"
2026-01-09,"223","1,802","$14.39","13,152","4.7"
2026-01-08,"197","1,934","$14.39","13,152","4.7"
2026-01-07,"189","1,980","$14.39","13,152","4.7"
2026-01-06,"199","1,923","$14.39","13,092","4.7"
2026-01-05,"194","1,951","$14.39","13,092","4.7"
2026-01-04,"183","1,916","$14.39","13,092","4.7"
2026-01-03,"148","2,150","$14.39","13,092","4.7"
2026-01-02,"100","2,626","$14.39","13,092","4.7"
2026-01-01,"140","2,215","$14.39","13,092","4.7"
2025-12-31,"163","2,042","$14.39","13,092","4.7"
2025-12-30,"166","2,021","$14.39","13,092","4.7"
2025-12-29,"196","1,844","$14.39","13,062","4.7"
2025-12-28,"196","1,779","$14.39","13,062","4.7"
2025-12-27,"191","1,806","$14.39","13,062","4.7"
2025-12-26,"186","1,833","$14.39","13,062","4.7"
2025-12-25,"195","1,784","$14.39","13,062","4.7"
2025-12-24,"221","1,658","$14.39","13,062","4.7"
2025-12-23,"233","1,607","$14.39","13,062","4.7"
2025-12-22,"262","1,497","$14.39","13,062","4.7"
2025-12-21,"272","1,985","$14.39","12,893","4.7"
2025-12-20,"264","2,022","$14.39","12,893","4.7"
2025-12-19,"265","2,017","$14.39","12,893","4.7"
2025-12-18,"273","1,981","$14.39","12,893","4.7"
2025-12-17,"291","1,904","$14.39","12,893","4.7"
2025-12-16,"256","2,061","$14.39","12,893","4.7"
2025-12-15,"283","1,937","$14.39","12,893","4.7"
2025-12-14,"299","1,837","$14.39","12,893","4.7"
2025-12-13,"290","1,872","$14.39","12,893","4.7"
2025-12-12,"267","1,970","$14.39","12,893","4.7"
2025-12-11,"262","1,992","$14.39","12,893","4.7"
2025-12-10,"259","2,006","$14.39","12,893","4.7"
2025-12-09,"254","2,030","$14.39","12,893","4.7"
