Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:29 GMT+0900 (한국 표준시)
Product ASIN: B0BPDBYRTZ
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"872","1,063","$0.00","N.A.","--"
2026-05-23,"797","1,123","$10.29","5,174","4.5"
2026-05-22,"723","1,191","$0.00","N.A.","--"
2026-05-21,"648","1,271","$10.97","5,174","4.5"
2026-05-20,"643","1,276","$10.29","5,174","4.5"
2026-05-19,"685","1,230","$10.29","5,174","4.5"
2026-05-18,"667","1,249","$10.29","5,174","4.5"
2026-05-17,"707","1,403","$10.29","5,174","4.5"
2026-05-16,"738","1,368","$10.29","5,168","4.5"
2026-05-15,"673","1,444","$10.29","5,168","4.5"
2026-05-14,"649","1,474","$10.29","5,168","4.5"
2026-05-13,"619","1,514","$10.29","5,168","4.5"
2026-05-12,"657","1,464","$9.78","5,168","4.5"
2026-05-11,"751","1,354","$9.78","5,168","4.5"
2026-05-10,"861","1,189","$9.78","5,168","4.5"
2026-05-09,"859","1,191","$9.78","5,148","4.5"
2026-05-08,"838","1,209","$9.78","5,148","4.5"
2026-05-07,"929","1,135","$9.78","5,148","4.5"
2026-05-06,"1,004","1,080","$9.78","5,148","4.5"
2026-05-05,"1,375","876","$10.97","5,148","4.5"
2026-05-04,"1,458","840","$10.97","5,148","4.5"
2026-05-03,"1,342","962","$10.97","5,148","4.5"
2026-05-02,"1,299","985","$10.97","5,123","4.5"
2026-05-01,"1,410","929","$10.97","5,123","4.5"
2026-04-30,"1,781","781","$10.97","5,123","4.5"
2026-04-29,"1,732","798","$10.97","5,123","4.5"
2026-04-28,"1,493","891","$10.97","5,123","4.5"
2026-04-27,"1,249","1,012","$10.97","5,123","4.5"
2026-04-26,"1,323","863","$10.97","5,123","4.5"
2026-04-25,"1,045","1,014","$10.97","5,123","4.5"
2026-04-24,"884","1,130","$10.97","5,094","4.5"
2026-04-23,"697","1,308","$10.97","5,094","4.5"
2026-04-22,"628","1,391","$10.97","5,094","4.5"
2026-04-21,"671","1,338","$10.97","5,094","4.5"
2026-04-20,"730","1,273","$10.97","5,094","4.5"
2026-04-19,"745","1,298","$10.97","5,094","4.5"
2026-04-18,"695","1,355","$10.97","5,094","4.5"
2026-04-17,"692","1,358","$10.97","5,086","4.5"
2026-04-16,"737","1,307","$10.97","5,086","4.5"
2026-04-15,"929","1,126","$10.97","5,086","4.5"
2026-04-14,"1,101","1,003","$10.97","5,086","4.5"
2026-04-13,"1,043","1,041","$0.00","N.A.","--"
2026-04-12,"986","1,060","$0.00","N.A.","--"
2026-04-11,"928","1,103","$10.97","5,086","4.5"
2026-04-10,"663","1,359","$10.97","5,086","4.5"
2026-04-09,"618","1,416","$10.97","5,062","4.5"
2026-04-08,"595","1,447","$10.97","5,062","4.5"
2026-04-07,"613","1,422","$10.97","5,062","4.5"
2026-04-06,"658","1,365","$10.97","5,062","4.5"
2026-04-05,"683","1,326","$10.97","5,062","4.5"
2026-04-04,"642","1,376","$10.97","5,062","4.5"
2026-04-03,"663","1,350","$10.97","5,062","4.5"
2026-04-02,"587","1,451","$10.97","5,062","4.5"
2026-04-01,"603","1,428","$10.97","5,047","4.5"
2026-03-31,"624","1,400","$10.30","5,047","4.5"
2026-03-30,"645","1,372","$10.30","5,047","4.5"
2026-03-29,"672","1,410","$10.30","5,047","4.5"
2026-03-28,"584","1,531","$10.30","5,047","4.5"
2026-03-27,"546","1,591","$10.30","5,047","4.5"
2026-03-26,"499","1,671","$10.30","5,047","4.5"
2026-03-25,"499","1,671","$10.30","5,047","4.5"
2026-03-24,"505","1,661","$10.97","5,019","4.5"
2026-03-23,"478","1,711","$10.97","5,019","4.5"
2026-03-22,"478","1,464","$10.97","5,019","4.5"
2026-03-21,"441","1,528","$10.97","5,019","4.5"
2026-03-20,"431","1,547","$10.97","5,019","4.5"
2026-03-19,"410","1,588","$10.97","5,019","4.5"
2026-03-18,"426","1,557","$10.97","5,019","4.5"
2026-03-17,"414","1,580","$10.97","4,944","4.5"
2026-03-16,"483","1,455","$10.97","4,944","4.5"
2026-03-15,"481","1,434","$10.97","4,944","4.5"
2026-03-14,"461","1,468","$10.97","4,944","4.5"
2026-03-13,"456","1,477","$10.97","4,944","4.5"
2026-03-12,"448","1,492","$10.97","4,944","4.5"
2026-03-11,"458","1,474","$10.97","4,944","4.5"
2026-03-10,"450","1,488","$10.97","4,888","4.5"
2026-03-09,"488","1,423","$10.97","4,888","4.5"
2026-03-08,"514","1,361","$10.97","4,888","4.5"
2026-03-07,"499","1,383","$10.97","4,888","4.5"
2026-03-06,"514","1,361","$10.97","4,888","4.5"
2026-03-05,"522","1,349","$10.97","4,888","4.5"
2026-03-04,"526","1,344","$10.97","4,888","4.5"
2026-03-03,"550","1,311","$10.97","4,888","4.5"
2026-03-02,"545","1,318","$10.97","4,888","4.5"
2026-03-01,"543","1,372","$10.97","4,888","4.5"
2026-02-28,"533","1,387","$10.97","4,888","4.5"
2026-02-27,"522","1,403","$10.97","4,867","4.5"
2026-02-26,"526","1,397","$10.97","4,867","4.5"
2026-02-25,"527","1,395","$10.97","4,867","4.5"
2026-02-24,"540","1,377","$10.97","4,867","4.5"
2026-02-23,"563","1,345","$10.97","4,867","4.5"
2026-02-22,"556","1,387","$10.97","4,867","4.5"
2026-02-21,"510","1,462","$10.97","4,867","4.5"
2026-02-20,"475","1,524","$10.97","4,839","4.5"
2026-02-19,"462","1,549","$10.97","4,839","4.5"
2026-02-18,"483","1,509","$10.97","4,839","4.5"
2026-02-17,"496","1,486","$10.97","4,839","4.5"
2026-02-16,"510","1,462","$10.97","4,839","4.5"
2026-02-15,"519","1,323","$10.97","4,839","4.5"
2026-02-14,"552","1,277","$10.97","4,839","4.5"
2026-02-13,"540","1,293","$10.97","4,839","4.5"
2026-02-12,"523","1,317","$10.97","4,821","4.5"
2026-02-11,"517","1,326","$10.97","4,821","4.5"
2026-02-10,"552","1,277","$10.97","4,821","4.5"
2026-02-09,"599","1,217","$10.97","4,821","4.5"
2026-02-08,"585","1,235","$10.97","4,821","4.5"
2026-02-07,"539","1,293","$10.97","4,821","4.5"
2026-02-06,"542","1,289","$10.97","4,821","4.5"
2026-02-05,"513","1,328","$10.97","4,789","4.5"
2026-02-04,"510","1,333","$0.00","N.A.","--"
2026-02-03,"506","1,339","$10.97","4,789","4.5"
2026-02-02,"520","1,319","$10.97","4,789","4.5"
2026-02-01,"534","1,158","$10.97","4,789","4.5"
2026-01-31,"502","1,202","$10.97","4,789","4.5"
2026-01-30,"482","1,231","$10.97","4,789","4.5"
2026-01-29,"454","1,275","$10.97","4,789","4.5"
2026-01-28,"445","1,290","$10.97","4,761","4.5"
2026-01-27,"467","1,254","$10.97","4,761","4.5"
2026-01-26,"499","1,206","$10.00","4,761","4.5"
2026-01-25,"499","1,051","$10.00","4,761","4.5"
2026-01-24,"486","1,068","$10.00","4,761","4.5"
2026-01-23,"509","1,038","$10.00","4,761","4.5"
2026-01-22,"576","961","$10.00","4,761","4.5"
2026-01-21,"548","992","$10.00","4,746","4.5"
2026-01-20,"620","918","$10.97","4,746","4.5"
2026-01-19,"731","825","$10.97","4,746","4.5"
2026-01-18,"535","1,064","$10.97","4,746","4.5"
2026-01-17,"512","1,094","$10.97","4,746","4.5"
2026-01-16,"525","1,077","$10.00","4,746","4.5"
2026-01-15,"556","1,038","$10.00","4,746","4.5"
2026-01-14,"522","1,081","$10.00","4,746","4.5"
2026-01-13,"539","1,059","$10.00","4,695","4.5"
2026-01-12,"584","1,005","$10.97","4,695","4.5"
2026-01-11,"585","988","$10.97","4,695","4.5"
2026-01-10,"589","983","$10.97","4,695","4.5"
2026-01-09,"589","983","$10.97","4,695","4.5"
2026-01-08,"538","1,044","$10.97","4,695","4.5"
2026-01-07,"554","1,024","$10.38","4,695","4.5"
2026-01-06,"567","1,008","$10.38","4,695","4.5"
2026-01-05,"585","988","$10.38","4,631","4.5"
2026-01-04,"602","961","$10.38","4,631","4.5"
2026-01-03,"560","1,003","$10.38","4,631","4.5"
2026-01-02,"495","1,078","$10.38","4,631","4.5"
2026-01-01,"546","1,018","$12.97","4,631","4.5"
2025-12-31,"533","1,032","$12.97","4,631","4.5"
2025-12-30,"548","1,016","$12.97","4,631","4.5"
2025-12-29,"635","932","$12.97","4,631","4.5"
2025-12-28,"678","799","$12.97","4,611","4.5"
2025-12-27,"663","811","$12.97","4,611","4.5"
2025-12-26,"625","846","$12.97","4,611","4.5"
2025-12-25,"664","811","$12.97","4,611","4.5"
2025-12-24,"734","755","$12.97","4,611","4.5"
2025-12-23,"807","706","$12.97","4,611","4.5"
2025-12-22,"917","643","$12.97","4,611","4.5"
2025-12-21,"919","901","$12.97","4,590","4.5"
2025-12-20,"863","940","$12.97","4,590","4.5"
2025-12-19,"852","948","$12.97","4,590","4.5"
2025-12-18,"921","900","$12.97","4,590","4.5"
2025-12-17,"936","890","$12.97","4,590","4.5"
2025-12-16,"957","877","$12.97","4,590","4.5"
2025-12-15,"997","852","$12.97","4,590","4.5"
2025-12-14,"953","847","$12.97","4,575","4.5"
2025-12-13,"874","900","$12.97","4,575","4.5"
2025-12-12,"841","925","$12.97","4,575","4.5"
2025-12-11,"809","950","$12.97","4,575","4.5"
2025-12-10,"801","957","$12.97","4,575","4.5"
2025-12-09,"802","956","$12.97","4,575","4.5"
2025-12-08,"792","964","$12.97","4,575","4.5"
2025-12-07,"765","935","$12.97","4,548","4.5"
2025-12-06,"717","980","$12.97","4,548","4.5"
2025-12-05,"712","985","$12.97","4,548","4.5"
2025-12-04,"724","973","$12.97","4,548","4.5"
