Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:37 GMT+0900 (한국 표준시)
Product ASIN: B07KJXFJHF
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"1,517","739","$17.97","22,972","4.6"
2026-05-23,"1,443","765","$17.97","22,972","4.6"
2026-05-22,"1,407","778","$17.97","22,972","4.6"
2026-05-21,"1,401","781","$17.97","22,972","4.6"
2026-05-20,"1,485","750","$17.97","22,972","4.6"
2026-05-19,"1,560","724","$17.97","22,638","4.6"
2026-05-18,"1,673","689","$17.97","22,638","4.6"
2026-05-17,"1,811","746","$17.97","22,638","4.6"
2026-05-16,"1,820","743","$17.97","22,638","4.6"
2026-05-15,"1,870","727","$17.97","22,638","4.6"
2026-05-14,"2,024","684","$17.97","22,638","4.6"
2026-05-13,"4,428","343","$17.97","22,638","4.6"
2026-05-12,"3,927","385","$17.97","22,638","4.6"
2026-05-11,"3,426","437","$0.00","N.A.","--"
2026-05-10,"2,925","489","$0.00","N.A.","--"
2026-05-09,"2,424","571","$0.00","N.A.","--"
2026-05-08,"1,923","685","$0.00","N.A.","--"
2026-05-07,"1,422","855","$17.97","22,973","4.6"
2026-05-06,"1,434","850","$17.97","22,973","4.6"
2026-05-05,"1,487","829","$17.97","22,973","4.6"
2026-05-04,"1,530","812","$17.97","22,973","4.6"
2026-05-03,"1,522","879","$17.97","22,973","4.6"
2026-05-02,"1,430","920","$17.97","22,973","4.6"
2026-05-01,"1,393","937","$17.97","22,973","4.6"
2026-04-30,"1,383","942","$17.97","22,973","4.6"
2026-04-29,"1,347","960","$17.97","22,967","4.6"
2026-04-28,"1,335","966","$17.97","22,967","4.6"
2026-04-27,"1,407","931","$17.97","22,967","4.6"
2026-04-26,"1,433","815","$17.97","22,967","4.6"
2026-04-25,"1,395","831","$17.97","22,967","4.6"
2026-04-24,"1,372","841","$17.97","22,967","4.6"
2026-04-23,"1,328","860","$17.97","22,967","4.6"
2026-04-22,"1,359","846","$17.97","22,953","4.6"
2026-04-21,"1,386","834","$17.97","22,953","4.6"
