Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:39 GMT+0900 (한국 표준시)
Product ASIN: B09NNF2DXX
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"2,577","495","$16.85","14,605","4.3"
2026-05-23,"2,649","484","$16.85","14,617","4.3"
2026-05-22,"2,499","508","$16.85","14,617","4.3"
2026-05-21,"2,396","525","$16.85","14,617","4.3"
2026-05-20,"2,458","515","$16.85","14,617","4.3"
2026-05-19,"2,335","536","$16.85","14,617","4.3"
2026-05-18,"2,311","540","$16.85","14,617","4.3"
2026-05-17,"2,564","564","$16.85","14,617","4.3"
2026-05-16,"2,878","511","$16.85","14,606","4.3"
2026-05-15,"2,416","593","$16.85","14,606","4.3"
2026-05-14,"2,508","574","$16.85","14,606","4.3"
2026-05-13,"2,415","593","$16.85","14,606","4.3"
2026-05-12,"2,294","618","$16.85","14,606","4.3"
2026-05-11,"2,339","609","$16.85","14,606","4.3"
2026-05-10,"2,662","529","$16.85","14,606","4.3"
2026-05-09,"2,542","550","$0.00","N.A.","--"
2026-05-08,"2,421","572","$16.85","14,588","4.3"
2026-05-07,"2,510","555","$16.85","14,588","4.3"
2026-05-06,"2,540","550","$16.85","14,588","4.3"
2026-05-05,"2,452","566","$16.85","14,588","4.3"
2026-05-04,"2,473","562","$16.85","14,588","4.3"
2026-05-03,"2,455","604","$16.85","14,588","4.3"
2026-05-02,"2,581","579","$16.85","14,588","4.3"
2026-05-01,"2,451","605","$16.85","14,588","4.3"
2026-04-30,"2,414","613","$16.85","14,588","4.3"
2026-04-29,"2,069","695","$16.85","14,575","4.3"
2026-04-28,"1,904","742","$16.85","14,575","4.3"
2026-04-27,"1,950","728","$16.85","14,575","4.3"
2026-04-26,"2,164","595","$16.85","14,575","4.3"
2026-04-25,"2,216","583","$16.85","14,575","4.3"
2026-04-24,"1,947","647","$16.85","14,575","4.3"
2026-04-23,"2,020","628","$16.85","14,575","4.3"
2026-04-22,"1,786","691","$16.85","14,550","4.4"
2026-04-21,"1,825","680","$16.85","14,550","4.4"
2026-04-20,"1,802","687","$16.85","14,550","4.4"
2026-04-19,"1,848","679","$16.85","14,550","4.4"
2026-04-18,"1,766","704","$16.85","14,550","4.4"
2026-04-17,"1,795","695","$16.85","14,550","4.4"
2026-04-16,"1,829","685","$16.85","14,550","4.4"
2026-04-15,"1,870","673","$16.85","14,550","4.4"
2026-04-14,"1,744","711","$16.85","14,550","4.4"
2026-04-13,"1,913","661","$16.85","14,540","4.3"
2026-04-12,"1,984","632","$0.00","N.A.","--"
2026-04-11,"2,055","615","$16.85","14,540","4.3"
2026-04-10,"1,812","680","$16.85","14,540","4.3"
2026-04-09,"1,762","695","$16.85","14,540","4.3"
2026-04-08,"1,739","702","$16.85","14,540","4.3"
2026-04-07,"1,672","724","$16.85","14,540","4.3"
2026-04-06,"1,714","710","$16.85","14,528","4.3"
2026-04-05,"1,735","693","$16.85","14,528","4.3"
2026-04-04,"1,598","738","$16.85","14,528","4.3"
2026-04-03,"1,525","765","$16.85","14,528","4.3"
2026-04-02,"1,291","866","$16.85","14,528","4.3"
2026-04-01,"1,399","816","$16.85","14,528","4.3"
2026-03-31,"1,380","824","$13.20","14,528","4.3"
2026-03-30,"1,417","808","$13.20","14,528","4.3"
2026-03-29,"1,420","852","$13.20","14,504","4.3"
2026-03-28,"1,403","860","$13.20","14,504","4.3"
2026-03-27,"1,460","834","$13.20","14,504","4.3"
2026-03-26,"1,677","750","$13.20","14,504","4.3"
2026-03-25,"1,704","741","$13.20","14,504","4.3"
2026-03-24,"1,661","756","$16.85","14,504","4.3"
2026-03-23,"1,716","737","$16.85","14,504","4.3"
2026-03-22,"1,742","613","$16.85","14,485","4.3"
2026-03-21,"1,787","601","$16.85","14,485","4.3"
2026-03-20,"1,720","620","$16.85","14,485","4.3"
2026-03-19,"1,569","666","$16.85","14,485","4.3"
2026-03-18,"1,608","654","$16.85","14,485","4.3"
2026-03-17,"1,638","644","$16.85","14,485","4.3"
2026-03-16,"1,706","624","$16.85","14,485","4.3"
2026-03-15,"1,833","571","$16.85","14,478","4.3"
