Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:41 GMT+0900 (한국 표준시)
Product ASIN: B0CGMC8WS9
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"3,652","368","$14.88","1,024","4.4"
2026-05-23,"3,546","378","$14.88","1,018","4.4"
2026-05-22,"3,621","371","$14.88","1,018","4.4"
2026-05-21,"3,587","374","$14.88","1,018","4.4"
2026-05-20,"3,645","369","$14.88","1,018","4.4"
2026-05-19,"3,588","374","$14.88","1,018","4.4"
2026-05-18,"3,437","388","$14.88","1,018","4.4"
2026-05-17,"3,360","445","$14.88","1,018","4.4"
2026-05-16,"3,366","444","$14.88","1,018","4.4"
2026-05-15,"3,234","461","$14.88","1,009","4.4"
2026-05-14,"3,014","491","$14.88","1,009","4.4"
2026-05-13,"2,647","549","$14.88","1,009","4.4"
2026-05-12,"2,114","661","$14.88","1,009","4.4"
2026-05-11,"2,228","633","$14.88","1,009","4.4"
2026-05-10,"2,494","558","$11.90","1,009","4.4"
2026-05-09,"2,401","576","$11.90","1,009","4.4"
2026-05-08,"2,297","597","$11.90","1,009","4.4"
2026-05-07,"2,240","609","$11.90","1,001","4.4"
2026-05-06,"2,211","615","$11.90","1,001","4.4"
2026-05-05,"2,254","606","$11.90","1,001","4.4"
2026-05-04,"2,272","602","$11.90","1,001","4.4"
2026-05-03,"2,479","599","$11.90","1,001","4.4"
2026-05-02,"2,511","593","$11.90","1,001","4.4"
2026-05-01,"2,538","587","$11.90","1,001","4.4"
2026-04-30,"2,589","578","$11.90","1,001","4.4"
2026-04-29,"2,800","540","$11.90","981","4.4"
2026-04-28,"3,639","427","$11.90","981","4.4"
2026-04-27,"3,872","403","$11.90","981","4.4"
2026-04-26,"3,856","360","$14.88","981","4.4"
2026-04-25,"3,783","366","$14.88","981","4.4"
2026-04-24,"3,455","398","$14.88","981","4.4"
2026-04-23,"3,337","411","$14.88","981","4.4"
2026-04-22,"3,443","400","$14.88","981","4.4"
2026-04-21,"3,575","386","$14.88","980","4.4"
2026-04-20,"3,752","369","$14.88","980","4.4"
2026-04-19,"3,957","347","$14.88","980","4.4"
2026-04-18,"3,951","348","$14.88","980","4.4"
2026-04-17,"4,009","343","$14.88","980","4.4"
2026-04-16,"3,854","356","$14.88","980","4.4"
2026-04-15,"4,026","341","$14.88","980","4.4"
2026-04-14,"4,204","327","$14.88","970","4.4"
2026-04-13,"4,623","298","$14.88","970","4.4"
2026-04-12,"5,231","261","$14.88","970","4.4"
2026-04-11,"5,198","262","$14.88","970","4.4"
2026-04-10,"4,838","282","$14.88","970","4.4"
2026-04-09,"4,339","314","$0.00","N.A.","--"
2026-04-08,"3,840","354","$14.88","970","4.4"
2026-04-07,"4,024","338","$14.88","957","4.4"
2026-04-06,"3,877","351","$14.88","957","4.4"
2026-04-05,"3,626","371","$14.88","957","4.4"
2026-04-04,"3,653","369","$14.88","957","4.4"
2026-04-03,"2,693","483","$14.88","957","4.4"
2026-04-02,"2,727","478","$14.88","957","4.4"
2026-04-01,"2,667","487","$11.90","957","4.4"
2026-03-31,"2,720","479","$11.90","948","4.4"
2026-03-30,"2,650","490","$11.90","948","4.4"
2026-03-29,"2,788","493","$11.90","948","4.4"
2026-03-28,"2,599","524","$11.90","948","4.4"
2026-03-27,"3,485","404","$11.90","948","4.4"
2026-03-26,"3,431","410","$11.90","948","4.4"
2026-03-25,"3,337","420","$14.88","948","4.4"
2026-03-24,"3,819","371","$14.88","927","4.5"
2026-03-23,"3,832","370","$14.88","927","4.5"
2026-03-22,"4,021","293","$14.88","927","4.5"
2026-03-21,"3,759","312","$14.88","927","4.5"
2026-03-20,"3,634","323","$14.88","927","4.5"
2026-03-19,"3,364","347","$14.88","927","4.5"
2026-03-18,"3,300","353","$14.88","927","4.5"
2026-03-17,"3,479","336","$14.88","927","4.5"
2026-03-16,"3,529","332","$14.88","922","4.5"
2026-03-15,"3,515","322","$14.88","922","4.5"
2026-03-14,"3,493","324","$14.88","922","4.5"
2026-03-13,"3,322","340","$14.88","922","4.5"
2026-03-12,"3,395","333","$14.88","922","4.5"
2026-03-11,"3,338","338","$14.88","922","4.5"
2026-03-10,"3,155","356","$14.88","922","4.5"
2026-03-09,"3,722","305","$14.88","908","4.5"
2026-03-08,"3,678","323","$14.88","908","4.5"
2026-03-07,"3,491","339","$14.88","908","4.5"
2026-03-06,"3,448","343","$14.88","908","4.5"
2026-03-05,"3,421","346","$14.88","908","4.5"
2026-03-04,"3,386","349","$14.88","908","4.5"
2026-03-03,"3,537","335","$14.88","908","4.5"
2026-03-02,"3,701","321","$14.88","908","4.5"
2026-03-01,"3,642","333","$14.88","908","4.5"
2026-02-28,"3,612","336","$14.88","908","4.5"
2026-02-27,"3,540","343","$14.88","908","4.5"
2026-02-26,"3,551","342","$14.88","903","4.5"
2026-02-25,"3,434","352","$14.88","903","4.5"
2026-02-24,"3,543","342","$14.88","903","4.5"
2026-02-23,"3,568","340","$0.00","N.A.","--"
2026-02-22,"3,592","315","$14.88","903","4.5"
2026-02-21,"3,521","321","$14.88","903","4.5"
2026-02-20,"3,447","327","$14.88","903","4.5"
2026-02-19,"3,422","330","$14.88","903","4.5"
2026-02-18,"3,310","340","$14.88","896","4.5"
2026-02-17,"3,332","338","$14.88","896","4.5"
2026-02-16,"3,724","304","$14.88","896","4.5"
2026-02-15,"3,814","294","$0.00","N.A.","--"
2026-02-14,"3,903","288","$14.88","896","4.5"
2026-02-13,"3,736","300","$14.88","896","4.5"
2026-02-12,"3,610","310","$14.88","896","4.5"
2026-02-11,"3,615","309","$14.88","886","4.5"
2026-02-10,"3,547","315","$14.88","886","4.5"
2026-02-09,"3,736","300","$14.88","886","4.5"
2026-02-08,"4,190","287","$14.88","886","4.5"
2026-02-07,"4,007","299","$14.88","886","4.5"
2026-02-06,"4,060","296","$14.88","886","4.5"
2026-02-05,"4,018","298","$14.88","886","4.5"
2026-02-04,"3,940","304","$14.88","886","4.5"
2026-02-03,"3,787","315","$14.88","886","4.5"
2026-02-02,"4,010","299","$14.88","875","4.5"
2026-02-01,"4,153","254","$14.88","875","4.5"
2026-01-31,"3,797","275","$14.88","875","4.5"
2026-01-30,"3,742","279","$14.88","875","4.5"
2026-01-29,"3,565","291","$14.88","875","4.5"
