Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:42 GMT+0900 (한국 표준시)
Product ASIN: B0B16VD9RQ
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"6,771","200","$19.97","3,617","4.4"
2026-05-23,"6,983","194","$19.97","3,617","4.4"
2026-05-22,"6,840","198","$19.97","3,617","4.4"
2026-05-21,"7,487","179","$19.97","3,617","4.4"
2026-05-20,"7,381","182","$19.97","3,617","4.4"
2026-05-19,"7,665","175","$19.97","3,618","4.4"
2026-05-18,"8,086","164","$19.97","3,618","4.4"
2026-05-17,"8,172","178","$19.97","3,618","4.4"
2026-05-16,"7,908","185","$19.97","3,618","4.4"
2026-05-15,"7,997","182","$19.97","3,618","4.4"
2026-05-14,"8,056","181","$19.97","3,618","4.4"
2026-05-13,"7,510","196","$19.97","3,618","4.4"
2026-05-12,"7,793","188","$0.00","N.A.","--"
2026-05-11,"8,076","180","$19.97","3,607","4.4"
2026-05-10,"8,295","174","$19.97","3,607","4.4"
2026-05-09,"8,722","164","$19.97","3,607","4.4"
2026-05-08,"8,225","176","$19.97","3,607","4.4"
2026-05-07,"8,060","180","$19.97","3,607","4.4"
2026-05-06,"8,142","178","$19.97","3,607","4.4"
2026-05-05,"8,514","169","$19.97","3,607","4.4"
2026-05-04,"7,973","182","$19.97","3,607","4.4"
2026-05-03,"8,066","187","$19.97","3,605","4.4"
2026-05-02,"7,922","191","$19.97","3,605","4.4"
2026-05-01,"7,984","189","$19.97","3,605","4.4"
2026-04-30,"8,437","178","$19.97","3,605","4.4"
2026-04-29,"8,398","179","$19.97","3,605","4.4"
2026-04-28,"8,040","188","$19.97","3,605","4.4"
2026-04-27,"8,184","184","$19.97","3,605","4.4"
2026-04-26,"8,711","152","$19.97","3,605","4.4"
2026-04-25,"9,029","146","$19.97","3,597","4.4"
2026-04-24,"8,353","160","$19.97","3,597","4.4"
2026-04-23,"8,478","157","$19.97","3,597","4.4"
2026-04-22,"7,985","168","$19.97","3,597","4.4"
2026-04-21,"8,010","168","$19.97","3,597","4.4"
2026-04-20,"8,070","166","$19.97","3,597","4.4"
2026-04-19,"8,548","153","$19.97","3,597","4.4"
2026-04-18,"8,321","157","$19.97","3,597","4.4"
2026-04-17,"8,177","161","$19.97","3,595","4.4"
2026-04-16,"8,271","159","$19.97","3,595","4.4"
2026-04-15,"8,410","156","$19.97","3,595","4.4"
2026-04-14,"7,725","172","$19.97","3,595","4.4"
2026-04-13,"8,285","158","$19.97","3,595","4.4"
2026-04-12,"8,404","155","$19.97","3,595","4.4"
2026-04-11,"8,518","153","$19.97","3,595","4.4"
2026-04-10,"8,670","150","$19.97","3,588","4.4"
2026-04-09,"8,296","158","$19.97","3,588","4.4"
2026-04-08,"8,066","163","$19.97","3,588","4.4"
2026-04-07,"8,154","161","$19.97","3,588","4.4"
2026-04-06,"8,868","146","$19.97","3,588","4.4"
2026-04-05,"9,531","138","$19.97","3,588","4.4"
2026-04-04,"9,549","138","$19.97","3,588","4.4"
2026-04-03,"16,570","72","$19.97","3,588","4.4"
2026-04-02,"12,718","99","$19.97","3,588","4.4"
2026-04-01,"8,547","156","$0.00","3,588","4.4"
2026-03-31,"7,193","189","$0.00","3,579","4.4"
2026-03-30,"7,635","177","$19.97","3,579","4.4"
2026-03-29,"8,154","170","$19.97","3,579","4.4"
2026-03-28,"7,626","183","$19.97","3,579","4.4"
2026-03-27,"7,561","185","$19.97","3,579","4.4"
2026-03-26,"7,027","201","$19.97","3,579","4.4"
2026-03-25,"6,804","208","$19.97","3,579","4.4"
2026-03-24,"6,805","208","$19.97","3,579","4.4"
2026-03-23,"6,778","209","$19.97","3,566","4.4"
2026-03-22,"7,068","163","$19.97","3,566","4.4"
2026-03-21,"7,047","163","$19.97","3,566","4.4"
2026-03-20,"6,627","175","$19.97","3,566","4.4"
2026-03-19,"6,646","174","$19.97","3,566","4.4"
2026-03-18,"6,667","173","$19.97","3,566","4.4"
2026-03-17,"6,767","171","$19.97","3,566","4.4"
2026-03-16,"7,060","163","$19.97","3,558","4.4"
2026-03-15,"7,634","145","$19.97","3,558","4.4"
2026-03-14,"7,385","150","$19.97","3,558","4.4"
2026-03-13,"7,395","150","$19.97","3,558","4.4"
2026-03-12,"7,105","157","$19.97","3,558","4.4"
2026-03-11,"6,473","174","$19.97","3,558","4.4"
2026-03-10,"6,885","162","$19.97","3,558","4.4"
2026-03-09,"7,448","149","$19.97","3,541","4.4"
2026-03-08,"7,573","153","$19.97","3,541","4.4"
2026-03-07,"7,251","161","$19.97","3,541","4.4"
2026-03-06,"7,507","155","$19.97","3,541","4.4"
2026-03-05,"7,674","151","$19.97","3,541","4.4"
2026-03-04,"7,367","158","$19.97","3,541","4.4"
2026-03-03,"7,485","156","$19.97","3,541","4.4"
2026-03-02,"7,719","150","$19.97","3,541","4.4"
2026-03-01,"7,735","152","$19.97","3,527","4.4"
2026-02-28,"7,983","147","$19.97","3,527","4.4"
2026-02-27,"7,518","157","$19.97","3,527","4.4"
2026-02-26,"7,414","160","$19.97","3,527","4.4"
2026-02-25,"7,154","166","$19.97","3,527","4.4"
2026-02-24,"7,448","159","$19.97","3,527","4.4"
2026-02-23,"7,538","157","$19.97","3,527","4.4"
