Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:45 GMT+0900 (한국 표준시)
Product ASIN: B085P3TYPS
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"2,952","443","$13.97","5,036","4.7"
2026-05-23,"2,666","482","$13.97","5,036","4.7"
2026-05-22,"2,810","461","$13.97","5,036","4.7"
2026-05-21,"2,825","459","$13.97","5,008","4.7"
2026-05-20,"2,719","474","$13.97","5,008","4.7"
2026-05-19,"2,862","454","$13.97","5,008","4.7"
2026-05-18,"2,987","438","$13.97","5,008","4.7"
2026-05-17,"3,029","488","$13.97","5,008","4.7"
2026-05-16,"2,763","529","$13.97","5,008","4.7"
2026-05-15,"2,559","565","$13.97","5,008","4.7"
2026-05-14,"2,513","573","$13.97","5,008","4.7"
2026-05-13,"2,684","542","$13.97","4,999","4.7"
2026-05-12,"2,888","509","$13.97","4,999","4.7"
2026-05-11,"2,943","501","$13.97","4,999","4.7"
2026-05-10,"2,909","491","$13.97","4,999","4.7"
2026-05-09,"2,824","504","$13.97","4,999","4.7"
2026-05-08,"2,914","490","$13.97","4,999","4.7"
2026-05-07,"2,899","492","$13.97","4,999","4.7"
2026-05-06,"2,898","493","$13.97","4,986","4.7"
2026-05-05,"3,155","458","$13.97","4,986","4.7"
2026-05-04,"3,250","446","$13.97","4,986","4.7"
2026-05-03,"3,199","480","$13.97","4,986","4.7"
2026-05-02,"3,109","493","$13.97","4,986","4.7"
2026-05-01,"2,981","511","$13.97","4,986","4.7"
2026-04-30,"2,882","527","$13.97","4,986","4.7"
2026-04-29,"2,774","544","$13.97","4,986","4.7"
2026-04-28,"2,859","530","$13.97","4,965","4.7"
2026-04-27,"3,090","495","$13.97","4,965","4.7"
2026-04-26,"3,109","438","$13.97","4,965","4.7"
2026-04-25,"2,892","467","$13.97","4,965","4.7"
2026-04-24,"2,813","478","$13.97","4,965","4.7"
2026-04-23,"2,733","490","$13.97","4,965","4.7"
2026-04-22,"2,787","482","$13.97","4,965","4.7"
2026-04-21,"3,066","443","$13.97","4,961","4.7"
2026-04-20,"3,274","418","$13.97","4,961","4.7"
