Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:49 GMT+0900 (한국 표준시)
Product ASIN: B0DVHVB9DY
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"2,952","443","$18.99","5,041","4.7"
2026-05-23,"2,673","481","$18.99","5,041","4.7"
2026-05-22,"2,813","461","$18.99","5,041","4.7"
2026-05-21,"2,823","460","$18.99","5,009","4.7"
2026-05-20,"2,716","475","$18.99","5,009","4.7"
2026-05-19,"2,863","454","$18.99","5,009","4.7"
2026-05-18,"2,986","439","$18.99","5,009","4.7"
2026-05-17,"3,034","488","$18.99","5,009","4.7"
2026-05-16,"2,763","529","$18.99","5,009","4.7"
2026-05-15,"2,559","565","$18.99","5,009","4.7"
2026-05-14,"2,561","564","$18.99","5,003","4.7"
2026-05-13,"2,685","542","$18.99","5,003","4.7"
2026-05-12,"2,887","509","$18.99","5,003","4.7"
2026-05-11,"2,947","500","$18.99","5,003","4.7"
2026-05-10,"2,909","491","$18.99","5,003","4.7"
2026-05-09,"2,824","504","$18.99","5,003","4.7"
2026-05-08,"2,915","490","$18.99","5,003","4.7"
2026-05-07,"2,899","492","$18.99","4,992","4.7"
2026-05-06,"2,899","492","$18.99","4,992","4.7"
2026-05-05,"3,153","458","$18.99","4,992","4.7"
2026-05-04,"3,241","447","$18.99","4,992","4.7"
2026-05-03,"3,199","480","$18.99","4,992","4.7"
2026-05-02,"3,109","493","$18.99","4,992","4.7"
2026-05-01,"3,160","485","$18.99","4,992","4.7"
2026-04-30,"2,884","526","$18.99","4,982","4.7"
2026-04-29,"2,768","545","$18.99","4,982","4.7"
2026-04-28,"2,858","531","$18.99","4,982","4.7"
2026-04-27,"2,906","523","$18.99","4,982","4.7"
2026-04-26,"3,152","433","$18.99","4,982","4.7"
2026-04-25,"3,199","427","$18.99","4,982","4.7"
2026-04-24,"2,813","478","$18.99","4,982","4.7"
2026-04-23,"2,845","473","$18.99","4,962","4.7"
2026-04-22,"2,787","482","$18.99","4,962","4.7"
2026-04-21,"3,067","443","$18.99","4,962","4.7"
2026-04-20,"3,141","434","$18.99","4,962","4.7"
2026-04-19,"3,235","420","$18.99","4,962","4.7"
2026-04-18,"3,034","445","$18.99","4,962","4.7"
2026-04-17,"2,931","459","$18.99","4,962","4.7"
2026-04-16,"2,960","455","$18.99","4,962","4.7"
2026-04-15,"2,942","458","$18.99","4,949","4.7"
2026-04-14,"2,922","460","$18.99","4,949","4.7"
2026-04-13,"3,134","432","$18.99","4,949","4.7"
2026-04-12,"3,157","425","$18.99","4,949","4.7"
2026-04-11,"2,997","445","$18.99","4,949","4.7"
2026-04-10,"2,971","449","$18.99","4,949","4.7"
2026-04-09,"2,813","471","$18.99","4,949","4.7"
2026-04-08,"2,727","484","$18.99","4,935","4.7"
2026-04-07,"2,655","495","$18.99","4,935","4.7"
2026-04-06,"2,598","505","$18.99","4,935","4.7"
2026-04-05,"2,470","520","$18.99","4,935","4.7"
2026-04-04,"2,292","553","$18.99","4,935","4.7"
2026-04-03,"2,015","615","$18.99","4,935","4.7"
2026-04-02,"1,712","700","$18.99","4,935","4.7"
2026-04-01,"1,516","768","$18.99","4,935","4.7"
2026-03-31,"1,231","896","$15.19","4,918","4.7"
2026-03-30,"1,303","860","$15.19","4,918","4.7"
2026-03-29,"1,628","768","$15.19","4,918","4.7"
2026-03-28,"1,677","750","$15.19","4,918","4.7"
2026-03-27,"1,816","705","$15.19","4,918","4.7"
2026-03-26,"1,856","693","$15.19","4,918","4.7"
2026-03-25,"1,902","679","$15.19","4,918","4.7"
2026-03-24,"2,086","630","$18.99","4,918","4.7"
2026-03-23,"2,339","573","$18.99","4,918","4.7"
2026-03-22,"2,238","499","$18.99","4,896","4.7"
2026-03-21,"2,254","496","$18.99","4,896","4.7"
2026-03-20,"2,060","535","$18.99","4,896","4.7"
2026-03-19,"1,776","604","$18.99","4,896","4.7"
2026-03-18,"1,776","604","$18.99","4,896","4.7"
2026-03-17,"1,895","573","$18.99","4,896","4.7"
2026-03-16,"1,879","577","$18.99","4,896","4.7"
2026-03-15,"1,890","557","$18.99","4,896","4.7"
2026-03-14,"1,732","598","$18.99","4,880","4.7"
2026-03-13,"1,928","548","$18.99","4,880","4.7"
2026-03-12,"1,843","568","$18.99","4,880","4.7"
2026-03-11,"1,866","563","$18.99","4,880","4.7"
2026-03-10,"1,920","550","$18.99","4,880","4.7"
2026-03-09,"2,085","513","$18.99","4,880","4.7"
2026-03-08,"2,188","510","$18.99","4,880","4.7"
2026-03-07,"2,319","486","$18.99","4,880","4.7"
