Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:50 GMT+0900 (한국 표준시)
Product ASIN: B0BS49YW8Z
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"4,121","330","$10.97","1,881","4.0"
2026-05-23,"3,959","342","$10.97","1,881","4.0"
2026-05-22,"3,927","345","$10.97","1,881","4.0"
2026-05-21,"3,769","358","$10.97","1,881","4.0"
2026-05-20,"3,935","344","$10.97","1,881","4.0"
2026-05-19,"3,893","347","$10.97","1,881","4.0"
2026-05-18,"4,213","323","$10.97","1,871","4.0"
2026-05-17,"4,120","368","$10.97","1,871","4.0"
2026-05-16,"4,133","367","$10.97","1,871","4.0"
2026-05-15,"4,164","364","$10.97","1,871","4.0"
2026-05-14,"4,038","375","$10.97","1,871","4.0"
2026-05-13,"4,039","375","$10.97","1,871","4.0"
2026-05-12,"4,149","366","$10.97","1,871","4.0"
2026-05-11,"4,499","338","$10.97","1,871","4.0"
2026-05-10,"4,296","346","$10.97","1,858","4.0"
2026-05-09,"4,351","342","$10.97","1,858","4.0"
2026-05-08,"4,092","362","$10.97","1,858","4.0"
2026-05-07,"4,149","357","$10.97","1,858","4.0"
2026-05-06,"3,997","370","$10.97","1,858","4.0"
2026-05-05,"4,123","360","$10.97","1,858","4.0"
2026-05-04,"4,194","354","$10.97","1,858","4.0"
2026-05-03,"4,185","374","$10.97","1,858","4.0"
2026-05-02,"4,043","387","$10.97","1,847","4.0"
2026-05-01,"4,024","388","$10.97","1,847","4.0"
2026-04-30,"4,097","382","$10.97","1,847","4.0"
2026-04-29,"3,958","394","$10.97","1,847","4.0"
2026-04-28,"3,832","407","$10.97","1,847","4.0"
2026-04-27,"3,787","411","$10.97","1,847","4.0"
2026-04-26,"4,258","327","$10.97","1,847","4.0"
2026-04-25,"4,119","338","$10.97","1,836","4.0"
2026-04-24,"4,244","328","$10.97","1,836","4.0"
2026-04-23,"4,090","340","$10.97","1,836","4.0"
2026-04-22,"4,207","331","$10.97","1,836","4.0"
2026-04-21,"4,180","333","$10.97","1,836","4.0"
2026-04-20,"4,441","314","$10.97","1,836","4.0"
2026-04-19,"4,449","309","$10.97","1,836","4.0"
2026-04-18,"4,558","302","$10.97","1,836","4.0"
2026-04-17,"4,555","302","$10.97","1,830","4.0"
2026-04-16,"4,783","288","$10.97","1,830","4.0"
2026-04-15,"5,180","265","$10.97","1,830","4.0"
2026-04-14,"6,242","217","$10.97","1,830","4.0"
2026-04-13,"5,428","252","$10.97","1,830","4.0"
2026-04-12,"4,349","314","$10.97","1,830","4.0"
2026-04-11,"4,170","327","$10.97","1,830","4.0"
2026-04-10,"3,996","341","$10.97","1,810","4.0"
2026-04-09,"3,854","353","$10.97","1,810","4.0"
2026-04-08,"3,666","370","$10.97","1,810","4.0"
2026-04-07,"3,832","355","$10.97","1,810","4.0"
2026-04-06,"4,201","325","$10.97","1,810","4.0"
2026-04-05,"4,407","309","$10.97","1,810","4.0"
2026-04-04,"4,284","318","$10.97","1,810","4.0"
2026-04-03,"4,336","314","$10.97","1,798","4.0"
2026-04-02,"4,848","282","$10.97","1,798","4.0"
2026-04-01,"5,951","230","$10.97","1,798","4.0"
2026-03-31,"5,540","247","$10.97","1,798","4.0"
2026-03-30,"5,792","236","$10.97","1,798","4.0"
2026-03-29,"4,123","345","$10.97","1,798","4.0"
2026-03-28,"3,570","395","$10.97","1,798","4.0"
2026-03-27,"3,651","387","$9.87","1,781","4.0"
2026-03-26,"3,639","388","$9.87","1,781","4.0"
2026-03-25,"3,659","386","$10.97","1,781","4.0"
2026-03-24,"3,577","394","$10.97","1,781","4.0"
2026-03-23,"3,518","400","$10.97","1,781","4.0"
2026-03-22,"3,719","316","$10.97","1,781","4.0"
2026-03-21,"3,600","326","$10.97","1,781","4.0"
2026-03-20,"3,726","315","$10.97","1,781","4.0"
2026-03-19,"3,645","322","$10.97","1,775","4.0"
2026-03-18,"3,607","325","$10.97","1,775","4.0"
2026-03-17,"3,635","323","$10.97","1,775","4.0"
2026-03-16,"3,708","317","$10.97","1,775","4.0"
2026-03-15,"3,982","286","$10.97","1,775","4.0"
2026-03-14,"3,924","290","$10.97","1,775","4.0"
2026-03-13,"3,982","286","$10.97","1,775","4.0"
2026-03-12,"3,981","286","$10.97","1,767","4.0"
2026-03-11,"3,949","288","$10.97","1,767","4.0"
2026-03-10,"3,878","293","$10.97","1,767","4.0"
2026-03-09,"4,067","280","$10.97","1,767","4.0"
2026-03-08,"4,007","298","$10.97","1,767","4.0"
2026-03-07,"3,817","312","$10.97","1,767","4.0"
2026-03-06,"3,764","316","$10.97","1,767","4.0"
2026-03-05,"3,911","305","$10.97","1,767","4.0"
2026-03-04,"3,877","308","$10.97","1,758","4.0"
2026-03-03,"3,972","301","$10.97","1,758","4.0"
2026-03-02,"4,205","284","$10.97","1,758","4.0"
2026-03-01,"3,994","305","$10.97","1,758","4.0"
2026-02-28,"3,959","308","$10.97","1,758","4.0"
2026-02-27,"3,750","324","$10.97","1,758","4.0"
2026-02-26,"3,682","330","$10.97","1,758","4.0"
2026-02-25,"3,975","307","$10.97","1,750","4.0"
2026-02-24,"4,050","301","$10.97","1,750","4.0"
2026-02-23,"4,320","283","$10.97","1,750","4.0"
2026-02-22,"4,302","264","$10.97","1,750","4.0"
2026-02-21,"4,377","260","$10.97","1,750","4.0"
2026-02-20,"4,604","247","$10.97","1,750","4.0"
2026-02-19,"4,463","255","$10.97","1,750","4.0"
2026-02-18,"4,204","270","$10.97","1,750","4.0"
2026-02-17,"4,082","278","$10.97","1,744","4.0"
2026-02-16,"3,979","285","$10.97","1,744","4.0"
2026-02-15,"4,334","260","$10.97","1,744","4.0"
2026-02-14,"4,562","248","$10.97","1,744","4.0"
2026-02-13,"4,273","264","$0.00","N.A.","--"
2026-02-12,"3,984","282","$10.97","1,744","4.0"
2026-02-11,"3,957","284","$10.97","1,744","4.0"
2026-02-10,"4,114","274","$10.97","1,737","4.0"
2026-02-09,"4,152","271","$0.00","N.A.","--"
2026-02-08,"4,190","287","$10.97","1,737","4.0"
2026-02-07,"4,098","293","$10.97","1,737","4.0"
2026-02-06,"3,692","323","$10.97","1,737","4.0"
2026-02-05,"3,634","327","$10.97","1,737","4.0"
2026-02-04,"3,365","351","$10.97","1,737","4.0"
2026-02-03,"3,311","356","$10.97","1,737","4.0"
2026-02-02,"3,487","340","$10.97","1,733","4.0"
2026-02-01,"3,515","295","$10.97","1,733","4.0"
2026-01-31,"3,376","305","$10.97","1,733","4.0"
2026-01-30,"3,148","324","$10.97","1,733","4.0"
2026-01-29,"3,262","315","$0.00","N.A.","--"
