Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:57 GMT+0900 (한국 표준시)
Product ASIN: B0DLLDXQ18
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"14,958","78","$14.97","414","4.4"
2026-05-23,"15,519","74","$14.97","416","4.4"
2026-05-22,"15,412","75","$14.97","416","4.4"
2026-05-21,"15,570","74","$14.97","416","4.4"
2026-05-20,"14,678","80","$14.97","416","4.4"
2026-05-19,"14,090","84","$14.97","416","4.4"
2026-05-18,"13,743","87","$14.97","416","4.4"
2026-05-17,"13,749","94","$14.97","416","4.4"
2026-05-16,"12,801","103","$14.97","416","4.4"
2026-05-15,"12,194","109","$14.97","413","4.4"
2026-05-14,"11,102","123","$14.97","413","4.4"
2026-05-13,"10,647","130","$14.97","413","4.4"
2026-05-12,"10,731","128","$14.97","413","4.4"
2026-05-11,"12,355","108","$14.97","413","4.4"
2026-05-10,"13,450","97","$14.97","413","4.4"
2026-05-09,"14,500","89","$14.97","413","4.4"
2026-05-08,"14,575","88","$14.97","413","4.4"
2026-05-07,"14,033","92","$14.97","413","4.4"
2026-05-06,"13,426","98","$14.97","409","4.4"
2026-05-05,"13,676","95","$14.97","409","4.4"
2026-05-04,"14,289","90","$14.97","409","4.4"
2026-05-03,"14,588","91","$14.97","409","4.4"
2026-05-02,"13,860","97","$14.97","409","4.4"
2026-05-01,"14,595","91","$14.97","409","4.4"
2026-04-30,"15,483","84","$14.97","409","4.4"
2026-04-29,"16,049","81","$14.97","409","4.4"
2026-04-28,"16,563","77","$14.97","400","4.4"
2026-04-27,"16,521","78","$14.97","400","4.4"
2026-04-26,"17,134","66","$14.97","400","4.4"
2026-04-25,"17,142","66","$14.97","400","4.4"
2026-04-24,"15,473","75","$14.97","400","4.4"
2026-04-23,"14,063","85","$14.97","400","4.4"
2026-04-22,"14,652","80","$14.97","400","4.4"
2026-04-21,"15,038","78","$14.97","400","4.4"
2026-04-20,"14,787","79","$14.97","400","4.4"
2026-04-19,"18,365","60","$14.97","400","4.4"
2026-04-18,"16,428","69","$14.97","400","4.4"
2026-04-17,"16,099","70","$14.97","400","4.4"
2026-04-16,"15,589","73","$14.97","400","4.4"
2026-04-15,"16,649","68","$14.97","400","4.4"
2026-04-14,"16,517","68","$14.97","400","4.4"
2026-04-13,"17,403","64","$14.97","399","4.4"
2026-04-12,"16,456","69","$14.97","399","4.4"
2026-04-11,"17,600","64","$14.97","399","4.4"
2026-04-10,"17,626","64","$14.97","399","4.4"
2026-04-09,"17,241","65","$0.00","N.A.","--"
2026-04-08,"16,856","67","$0.00","N.A.","--"
2026-04-07,"16,471","69","$14.97","399","4.4"
2026-04-06,"17,647","63","$14.97","399","4.4"
2026-04-05,"18,621","62","$14.97","394","4.4"
2026-04-04,"17,380","68","$14.97","394","4.4"
2026-04-03,"15,552","78","$14.97","394","4.4"
2026-04-02,"16,420","73","$14.97","394","4.4"
2026-04-01,"15,552","78","$14.97","394","4.4"
2026-03-31,"15,914","76","$14.97","394","4.4"
2026-03-30,"16,832","71","$14.97","394","4.4"
2026-03-29,"16,972","71","$0.00","N.A.","--"
2026-03-28,"17,111","70","$14.97","390","4.4"
2026-03-27,"17,254","69","$14.97","390","4.4"
2026-03-26,"16,015","76","$0.00","N.A.","--"
2026-03-25,"14,775","84","$14.97","390","4.4"
2026-03-24,"13,718","92","$14.97","390","4.4"
2026-03-23,"14,824","84","$14.97","390","4.4"
2026-03-22,"14,665","69","$14.97","390","4.4"
2026-03-21,"13,210","79","$14.97","390","4.4"
2026-03-20,"14,216","72","$0.00","N.A.","--"
2026-03-19,"15,222","66","$0.00","384","4.4"
2026-03-18,"14,798","69","$14.97","384","4.4"
2026-03-17,"14,699","69","$14.97","384","4.4"
2026-03-16,"15,526","65","$14.97","384","4.4"
2026-03-15,"14,877","67","$14.97","384","4.4"
2026-03-14,"14,704","68","$14.97","384","4.4"
2026-03-13,"14,251","70","$0.00","N.A.","--"
2026-03-12,"13,798","73","$0.00","N.A.","--"
2026-03-11,"13,345","76","$0.00","N.A.","--"
2026-03-10,"12,892","79","$14.97","374","4.4"
2026-03-09,"14,712","68","$14.97","374","4.4"
2026-03-08,"14,330","73","$14.97","374","4.4"
2026-03-07,"15,748","65","$14.97","374","4.4"
2026-03-06,"15,368","67","$14.97","374","4.4"
2026-03-05,"16,017","63","$14.97","374","4.4"
2026-03-04,"16,250","62","$0.00","N.A.","--"
2026-03-03,"16,482","61","$14.97","371","4.4"
2026-03-02,"16,265","62","$14.97","371","4.4"
2026-03-01,"16,004","64","$14.97","371","4.4"
2026-02-28,"17,896","56","$14.97","371","4.4"
2026-02-27,"16,841","60","$14.97","371","4.4"
2026-02-26,"16,722","61","$14.97","371","4.4"
2026-02-25,"17,138","59","$14.97","368","4.4"
2026-02-24,"18,244","54","$14.97","368","4.4"
2026-02-23,"18,122","55","$14.97","368","4.4"
2026-02-22,"18,193","54","$14.97","368","4.4"
2026-02-21,"17,513","56","$14.97","368","4.4"
2026-02-20,"16,532","60","$14.97","368","4.4"
2026-02-19,"17,025","58","$14.97","368","4.4"
2026-02-18,"16,898","59","$14.97","368","4.4"
2026-02-17,"17,386","57","$14.97","368","4.4"
2026-02-16,"17,769","55","$14.97","359","4.4"
2026-02-15,"17,945","54","$14.97","359","4.4"
2026-02-14,"19,418","49","$14.97","359","4.4"
2026-02-13,"21,145","44","$14.97","359","4.4"
2026-02-12,"19,596","48","$14.97","359","4.4"
2026-02-11,"19,647","48","$14.97","359","4.4"
2026-02-10,"20,089","47","$14.97","359","4.4"
2026-02-09,"18,854","51","$14.97","353","4.4"
2026-02-08,"19,007","53","$14.97","353","4.4"
2026-02-07,"19,057","53","$14.97","353","4.4"
2026-02-06,"17,460","59","$14.97","353","4.4"
2026-02-05,"16,113","65","$14.97","353","4.4"
2026-02-04,"17,792","58","$14.97","353","4.4"
2026-02-03,"16,567","63","$14.97","353","4.4"
2026-02-02,"15,053","71","$14.97","343","4.4"
2026-02-01,"15,527","62","$14.97","343","4.4"
2026-01-31,"13,956","70","$14.97","343","4.4"
2026-01-30,"14,038","70","$14.97","343","4.4"
2026-01-29,"11,513","88","$14.97","343","4.4"
2026-01-28,"13,295","74","$14.97","343","4.4"
2026-01-27,"14,399","68","$14.97","343","4.4"
2026-01-26,"13,451","73","$14.97","343","4.4"
2026-01-25,"12,361","68","$14.97","335","4.4"
2026-01-24,"11,673","73","$14.97","335","4.4"
2026-01-23,"12,323","68","$14.97","335","4.4"
2026-01-22,"12,470","67","$14.97","335","4.4"
2026-01-21,"12,752","66","$14.97","335","4.4"
2026-01-20,"12,431","68","$14.97","335","4.4"
2026-01-19,"14,445","57","$14.97","335","4.4"
2026-01-18,"12,948","71","$14.97","328","4.4"
2026-01-17,"12,677","72","$14.97","328","4.4"
2026-01-16,"12,055","77","$14.97","328","4.4"
2026-01-15,"12,786","72","$14.97","328","4.4"
2026-01-14,"12,933","71","$14.97","328","4.4"
2026-01-13,"13,637","67","$14.97","328","4.4"
2026-01-12,"13,373","68","$14.97","328","4.4"
2026-01-11,"14,237","61","$14.97","328","4.4"
2026-01-10,"13,227","66","$14.97","328","4.4"
2026-01-09,"12,876","68","$14.97","328","4.4"
