Catalyst Product Historical Data 
Report Generated at: Tue May 26 2026 00:48:59 GMT+0900 (한국 표준시)
Product ASIN: B0BWL2J93X
DATE,RANK,UNITS SOLD,PRICE,REVIEWS,STAR RATING
2026-05-24,"764","1,152","$17.99","5,175","4.5"
2026-05-23,"797","1,123","$17.99","5,174","4.5"
2026-05-22,"734","1,180","$17.99","5,174","4.5"
2026-05-21,"659","1,258","$17.99","5,174","4.5"
2026-05-20,"643","1,276","$17.99","5,174","4.5"
2026-05-19,"678","1,237","$17.99","5,174","4.5"
2026-05-18,"707","1,207","$17.99","5,174","4.5"
2026-05-17,"707","1,403","$17.99","5,174","4.5"
2026-05-16,"738","1,368","$17.99","5,168","4.5"
2026-05-15,"658","1,463","$17.99","5,168","4.5"
2026-05-14,"649","1,474","$17.99","5,168","4.5"
2026-05-13,"619","1,514","$17.99","5,168","4.5"
2026-05-12,"752","1,353","$17.99","5,168","4.5"
2026-05-11,"866","1,242","$17.99","5,168","4.5"
2026-05-10,"861","1,189","$17.99","5,168","4.5"
2026-05-09,"859","1,191","$17.99","5,152","4.5"
2026-05-08,"838","1,209","$17.99","5,152","4.5"
2026-05-07,"828","1,218","$17.99","5,152","4.5"
2026-05-06,"929","1,135","$17.99","5,152","4.5"
2026-05-05,"1,004","1,080","$17.99","5,152","4.5"
2026-05-04,"1,375","876","$17.99","5,152","4.5"
2026-05-03,"1,458","907","$17.99","5,152","4.5"
2026-05-02,"1,342","962","$17.99","5,127","4.5"
2026-05-01,"1,300","984","$17.99","5,127","4.5"
2026-04-30,"1,410","929","$17.99","5,127","4.5"
2026-04-29,"1,568","860","$17.99","5,127","4.5"
2026-04-28,"1,732","798","$17.99","5,127","4.5"
2026-04-27,"1,493","891","$17.99","5,127","4.5"
2026-04-26,"1,249","898","$17.99","5,127","4.5"
2026-04-25,"1,323","863","$17.99","5,094","4.5"
2026-04-24,"1,044","1,015","$17.99","5,094","4.5"
2026-04-23,"881","1,133","$17.99","5,094","4.5"
2026-04-22,"697","1,308","$17.99","5,094","4.5"
2026-04-21,"628","1,391","$17.99","5,094","4.5"
2026-04-20,"671","1,338","$17.99","5,094","4.5"
2026-04-19,"726","1,319","$17.99","5,094","4.5"
2026-04-18,"689","1,362","$17.99","5,094","4.5"
2026-04-17,"684","1,368","$17.99","5,094","4.5"
2026-04-16,"692","1,358","$17.99","5,086","4.5"
2026-04-15,"738","1,306","$17.99","5,086","4.5"
2026-04-14,"929","1,126","$17.99","5,086","4.5"
2026-04-13,"1,100","1,003","$17.99","5,086","4.5"
2026-04-12,"1,215","918","$17.99","5,086","4.5"
2026-04-11,"928","1,103","$17.99","5,086","4.5"
2026-04-10,"665","1,357","$17.99","5,086","4.5"
2026-04-09,"648","1,378","$0.00","N.A.","--"
2026-04-08,"631","1,399","$0.00","N.A.","--"
2026-04-07,"614","1,421","$17.99","5,059","4.5"
2026-04-06,"658","1,365","$17.99","5,059","4.5"
2026-04-05,"683","1,326","$17.99","5,059","4.5"
2026-04-04,"642","1,376","$17.99","5,059","4.5"
2026-04-03,"661","1,352","$17.99","5,059","4.5"
2026-04-02,"587","1,451","$17.99","5,059","4.5"
2026-04-01,"602","1,430","$17.99","5,059","4.5"
2026-03-31,"624","1,400","$17.98","5,047","4.5"
2026-03-30,"645","1,372","$17.98","5,047","4.5"
2026-03-29,"672","1,410","$17.98","5,047","4.5"
2026-03-28,"584","1,531","$17.98","5,047","4.5"
2026-03-27,"593","1,518","$17.98","5,047","4.5"
2026-03-26,"501","1,668","$17.98","5,047","4.5"
2026-03-25,"499","1,671","$17.98","5,047","4.5"
2026-03-24,"505","1,661","$17.99","5,019","4.5"
2026-03-23,"479","1,709","$17.99","5,019","4.5"
2026-03-22,"478","1,464","$17.99","5,019","4.5"
2026-03-21,"441","1,528","$17.99","5,019","4.5"
2026-03-20,"431","1,547","$17.99","5,019","4.5"
2026-03-19,"410","1,588","$17.99","5,019","4.5"
2026-03-18,"426","1,557","$17.99","5,019","4.5"
2026-03-17,"414","1,580","$17.99","4,942","4.5"
2026-03-16,"456","1,501","$17.99","4,942","4.5"
2026-03-15,"481","1,434","$17.99","4,942","4.5"
2026-03-14,"461","1,468","$17.99","4,942","4.5"
2026-03-13,"456","1,477","$17.99","4,942","4.5"
2026-03-12,"448","1,492","$17.99","4,942","4.5"
2026-03-11,"458","1,474","$17.99","4,942","4.5"
